Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2022-01-03,1000000.0,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-04,996885.2533726363,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-05,995742.569286651,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-06,987605.516347599,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-07,986710.5814308291,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-10,984542.4660061398,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-11,984597.1185955029,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-12,989625.7968719169,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-13,990439.4023163848,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-14,987652.5041843505,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-18,985416.31676073,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-19,975927.381715351,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-20,975538.2095060716,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-21,972384.1464847802,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-24,968878.5345842472,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-25,970618.9670712915,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-26,966621.9782440737,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-27,960806.5394258642,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-28,957728.7133570311,1.24%,7.56%,-0.23,-0.1693277893517734
2022-01-31,964054.0284171837,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-01,970978.1452943352,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-02,973376.4533481551,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-03,975318.8558482517,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-04,967270.3459307078,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-07,966311.2257982101,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-08,966544.3779941426,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-09,968430.0884230409,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-10,973266.2184440887,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-11,965113.5577475103,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-14,964686.4460149368,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-15,961931.1580989837,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-16,965658.2400551011,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-17,968002.6007653825,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-18,964549.1404065115,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-22,963340.807692533,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-23,960715.9358593404,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-24,953865.1111070178,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-25,958502.5474509757,1.24%,7.56%,-0.23,-0.1693277893517734
2022-02-28,963335.9652108847,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-01,968104.4530623024,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-02,967576.9494102191,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-03,966092.8250204817,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-04,965029.8728431107,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-07,965394.5043920826,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-08,956676.1887646769,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-09,956422.9348240766,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-10,960598.4047083706,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-11,956332.9718982758,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-14,950904.5112984165,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-15,941560.9554630436,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-16,945727.840386749,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-17,954559.6316164727,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-18,957589.0206756629,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-21,961305.9657579854,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-22,956637.2324882589,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-23,957433.1332998247,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-24,957016.9341450267,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-25,959363.9363175435,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-28,956686.8277190046,1.24%,7.56%,-0.23,-0.1693277893517734
2022-03-29,956630.6120556728,1.24%,7.56%,-0.23,-0.1693277893517734
