date,turnover,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2023-01-04,0.09695043,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-05,0.14743263,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-06,0.13596019,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-09,0.05206044,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-10,0.107860416,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-11,0.08273123,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-12,0.04013565,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-13,0.0786964,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-17,0.08921036,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-18,0.022881523,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-19,0.0768363,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-20,0.059889242,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-23,0.08863388,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-24,0.033496186,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-25,0.12306148,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-26,0.094061255,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-27,0.06286247,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-30,0.023151517,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-31,0.06908566,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-01,0.042959824,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-02,0.08604047,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-03,0.0353747,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-06,0.08433603,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-07,0.13553007,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-08,0.046492547,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-09,0.06361015,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-10,0.06598522,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-13,0.03612329,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-14,0.07977456,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-15,0.09948453,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-16,0.048824772,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-17,0.033707708,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-21,0.0119481385,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-22,0.045655847,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-23,0.08428034,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-24,0.041227803,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-27,0.024785146,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-28,0.03850308,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-03-01,0.08846666,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-03-02,0.081311,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-03-03,0.045908928,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-03-06,0.020880431,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
