date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2021-01-05,32.974605560302734,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-06,44.32534193263358,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-07,67.5415497984686,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-08,46.74779124464218,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-11,23.32641857687609,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-12,42.90708512724353,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-13,124.07130303324071,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-14,134.88877400322642,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-15,175.5021493728958,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-19,105.44169039698387,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-20,75.89571791554313,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-21,114.70341429965424,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-22,84.49368689839609,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-25,63.65064143270929,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-26,46.311042006003994,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-27,81.2082275640968,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-28,165.38134160604938,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-29,140.57653986996488,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-01,84.35471861017088,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-02,87.39367498774253,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-03,112.27642702908656,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-04,140.22703020029917,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-05,82.51339987554506,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-08,81.29451246412005,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-09,134.36715904190115,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-10,105.08985992239788,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-11,97.26437392787949,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-12,153.42703060042766,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-16,6.787433289306969,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-17,35.87629854837123,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-18,71.82654600256835,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-19,83.3308125944383,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-22,100.45614323066911,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-23,151.15505871982137,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-24,142.96545818345788,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-25,0.8760411704991775,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-26,12.677028127588668,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-01,93.44041690458974,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-02,16.297060695829707,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-03,69.80688167682976,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-04,22.017596781450656,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-05,31.04103477974167,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-08,17.239463379427168,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-09,0.0,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-10,74.20046234490577,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-11,82.40974073840374,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-12,42.23280041507963,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-15,17.048856208654986,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-16,41.798941892519466,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-17,48.84794626768305,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-18,59.825140755141184,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-19,101.19409615244274,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-22,89.1703473396019,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-23,39.753301516390295,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-24,50.99887565967843,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-25,36.18905540957189,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-26,76.59745177166887,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-29,84.14350540655597,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-30,73.36679042627306,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-31,199.260583148307,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-01,104.75164313119684,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-05,86.6622407238643,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-06,94.54069546693546,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-07,165.06809002925468,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-08,75.35752781186972,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-09,314.9653801083628,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-12,228.16337208521907,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-13,77.91341661182489,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-14,90.36028936605607,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-15,85.06749083175933,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-16,73.80240361887257,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-19,104.51387121642517,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-20,154.9389647542413,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-21,28.197480725487964,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-22,145.9943515766906,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-23,146.78232646033513,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-26,37.8733046404444,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-27,59.750651012990765,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-28,114.37743231057222,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-29,102.32671750786356,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-30,73.34532814422033,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-03,99.71214561867741,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-04,76.27232206708341,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-05,51.22018960640202,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-06,132.72361190956212,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-07,73.90062845050615,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-10,37.02870031704595,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-11,63.8272088633556,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-12,76.99057669520913,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-13,92.4569855998647,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-14,62.33126243298377,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-17,110.9546235983251,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-18,27.033233619600626,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-19,145.26913705529614,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-20,153.92215781367565,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-21,37.33361144418477,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-24,35.665956291274675,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-25,41.28048555218851,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-26,35.06551798286908,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-05-27,64.40309986899324,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
