date,asset_0,asset_1,asset_2,asset_3,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2023-01-04,0.22092101,0.26441166,0.22092101,0.29374632,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-05,0.27609065,0.24130312,0.24130312,0.24130312,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-06,0.24578092,0.25368574,0.24578092,0.25475243,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-09,0.25274003,0.25631112,0.24392006,0.24702877,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-10,0.2779521,0.24068262,0.24068262,0.24068262,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-11,0.23151034,0.28148043,0.2313066,0.25570264,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-12,0.24030901,0.26651102,0.24030901,0.25287098,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-13,0.2489173,0.24161708,0.25340503,0.25606057,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-17,0.24099748,0.2577556,0.24673916,0.2545077,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-18,0.30783847,0.27537674,0.20989703,0.2068878,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-19,0.2522108,0.23698403,0.24674428,0.26406094,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-20,0.23794152,0.25777426,0.24201822,0.26226598,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-23,0.25714523,0.25727704,0.24278885,0.24278885,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-24,0.25,0.25,0.25,0.25,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-25,0.26953772,0.24348742,0.24348742,0.24348742,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-26,0.2995596,0.22539222,0.24965599,0.22539222,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-27,0.23712984,0.2514704,0.23712984,0.27426997,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-30,0.21930301,0.2832133,0.2266088,0.27087495,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-01-31,0.22422417,0.25380206,0.2523775,0.26959628,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-01,0.30241773,0.23132962,0.23492303,0.23132962,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-02,0.2542176,0.24523626,0.24404132,0.25650483,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-03,0.24159528,0.2528755,0.2577444,0.24778482,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-06,0.23157692,0.23253103,0.23157692,0.3043152,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-07,0.22505765,0.24059877,0.22505765,0.30928597,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
2023-02-08,0.2287977,0.2615856,0.2287977,0.280819,4,2014-01-01,2022-12-31,2023-01-01,2023-12-31
