date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-01-03,691.3037719726562,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-06,700.5883072910877,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-07,493.5838559815113,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-08,506.7370300611047,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-09,921.3320574466173,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-10,835.0595598460824,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-13,435.7814237507217,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-14,918.5104128860559,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-15,1094.6226055950262,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-16,1101.60134989873,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-17,974.1745570069189,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-21,695.6321740824691,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-22,1134.3403770229281,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-23,915.5971722311189,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-24,907.1130170148663,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-27,577.5792324970022,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-28,700.147715465918,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-29,704.0154295965092,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-30,577.8659997846988,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-31,744.6047420153137,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-03,495.88453858439146,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-04,703.7428544072333,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-05,979.1907028989444,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-06,975.2738350693702,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-07,696.5250359608124,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-10,698.3868744897064,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-11,493.18568011103935,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-12,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-13,492.9440501795575,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-14,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-18,580.7492207300498,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-19,582.1891723631775,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-20,708.2957387248808,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-21,584.3881297419515,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-24,0.6200018940609591,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-25,588.2918839247361,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-26,14.005047072432328,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-27,13.85584379530217,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-28,574.1180500181287,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-02,740.013424819538,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-03,425.8328061621078,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-04,705.0512191853699,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-05,495.86138658130466,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-06,500.3640155127475,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-09,595.3494800209382,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-10,608.5401747002184,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-11,0.12824852550632732,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-12,1.2255036599086606,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-13,13.711475145073505,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-16,470.4632276326237,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-17,477.3694352292123,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-18,681.5405703348304,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-19,796.4299068770293,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-20,543.552405947791,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-23,0.004887102177132519,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-24,691.4605256180465,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-25,435.61219051174965,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-26,233.5034349585247,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-27,528.5910347368709,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-30,496.06711532137103,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-31,581.8665367443188,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-01,583.0346947221642,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-02,0.00018066943364871294,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-03,488.55677096225014,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-06,9.189999598200185,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-07,1.3684604537959772,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-08,635.9868882833217,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
