date,asset_0,asset_1,asset_2,asset_3,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-01-03,0.13483895,0.36421013,0.36622444,0.13472643,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-06,0.36541462,0.36542746,0.13472153,0.13443637,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-07,0.29526722,0.29697847,0.29728174,0.11047253,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-08,0.41841674,0.15392691,0.27372944,0.15392691,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-09,0.1344735,0.3655259,0.3655297,0.13447085,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-10,0.31838953,0.22719315,0.22721957,0.22719772,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-13,0.29108983,0.29938608,0.29938608,0.110137984,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-14,0.13129364,0.15585689,0.35597077,0.35687867,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-15,0.47536692,0.1748777,0.1748777,0.1748777,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-16,0.109559014,0.29711968,0.29712087,0.29620042,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-17,0.3679952,0.13537847,0.3612479,0.13537847,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-21,0.3655172,0.3655172,0.13446626,0.13449939,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-22,0.17351732,0.18131359,0.47165182,0.17351732,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-23,0.47536337,0.17488387,0.17487639,0.17487639,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-24,0.1748777,0.47536692,0.1748777,0.1748777,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-27,0.3655168,0.36553642,0.13447343,0.13447343,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-28,0.13447073,0.36552927,0.3655293,0.1344707,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
