date,turnover,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-01-03,0.45068097,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-06,0.76060337,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-07,0.38028148,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-08,0.74959224,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-09,0.45565468,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-10,0.6204029,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-13,0.5297903,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-14,0.7625912,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-15,0.35447598,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-16,0.4365045,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-17,0.0023247823,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-21,0.3247754,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-22,0.46206284,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-23,0.4621172,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-24,0.32490408,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-27,0.37635416,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-28,0.6507804,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-29,0.4621148,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-30,0.32489842,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-31,0.64980817,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-03,0.9242344,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-04,0.46216527,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-05,0.64973783,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-06,0.64980817,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-07,0.4621172,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-10,0.64980733,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-11,0.32490265,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-12,0.32490408,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-13,0.32490408,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-14,0.38130322,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-18,0.38130322,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-19,0.4621172,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-20,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-21,0.4621172,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-24,0.38130322,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-25,0.38130322,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-26,0.4621172,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-27,0.32490408,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-28,0.64980817,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-02,0.76260644,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-03,0.48902586,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-04,0.32390285,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-05,2.4735928e-06,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-06,0.38130075,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-09,0.48817727,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-10,0.48817727,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-11,0.38130313,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-12,0.38130313,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-13,0.45003855,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-16,0.6612886,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-17,0.44823158,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-18,0.7589714,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-19,0.3765654,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-20,0.3756889,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-23,0.36825964,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-24,0.61558175,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-25,0.31083325,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-26,0.32449645,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-27,0.6501525,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-30,0.46142656,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-31,0.4630618,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-01,0.9242344,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-02,0.38130328,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-03,0.48817426,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
