date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2020-01-03,31.467363357543945,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-06,691.5311779273628,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-07,912.7003129056552,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-08,911.2073243518893,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-09,910.6044128140413,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-10,906.3599182396747,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-13,1147.3694753059087,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-14,696.8525406712778,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-15,695.1046214199032,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-16,694.4790508097896,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-17,875.2380651989778,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-21,875.6679061046912,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-22,1289.2593591135198,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-23,546.6653046172679,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-24,760.2097336792186,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-27,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-28,740.9373600092712,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-29,1160.9328761348602,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-30,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-01-31,1406.690491979652,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-03,599.3697947678279,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-04,600.4342325540783,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-05,579.4831872712467,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-06,1152.1194948054595,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-07,695.6908622966388,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-10,489.95551857711337,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-11,491.95081850460826,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-12,701.0513317762181,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-13,576.3676144111511,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-14,737.047694037177,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-18,306.76669529299454,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-19,185.64211228382527,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-20,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-21,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-24,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-25,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-26,507.12022694323605,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-27,503.16024234699523,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-02-28,586.1089352997237,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-02,764.1306348423091,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-03,423.0514625725068,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-04,244.46245958729142,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-05,834.0426700256683,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-06,0.0,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-09,646.7232995395337,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-10,367.69397631028977,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-11,596.8659524855849,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-12,21.41473289012777,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-13,594.3493744766066,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-16,491.1128028315156,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-17,484.7629813409921,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-18,490.1418690923875,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-19,135.31835569422964,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-20,418.77375569786034,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-23,782.0530885096565,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-24,677.8265065750289,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-25,687.2287055592651,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-26,493.8729411647687,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-27,869.0691577687561,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-30,140.7771540478225,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-03-31,825.3587615824698,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-01,1017.4725326857485,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-02,743.254738682284,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-03,157.9364976470988,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-06,618.0025746555254,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-07,1036.4223829621922,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-08,429.4837727072972,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-09,697.7520486176126,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-13,639.8707973864515,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-14,995.6708355395825,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-15,482.49984897512604,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-16,741.653484226282,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-17,635.2895953691351,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
2020-04-20,1206.7040086765896,1,2011-01-01,2019-12-31,2020-01-01,2020-12-31
