date,turnover,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2024-01-03,0.4507338,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-04,0.73926836,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-05,0.44412047,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-08,0.19465661,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-09,0.33053666,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-10,0.2541362,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-11,0.35494927,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-12,0.5315517,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-16,0.5315517,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-17,0.60097843,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-18,0.7626064,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-19,0.29343593,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-22,0.19051418,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-23,0.17559674,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-24,0.41660532,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-25,0.44607952,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-26,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-29,0.5871106,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-30,0.36743537,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-01-31,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-01,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-02,0.64980817,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-05,0.28153646,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-06,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-07,0.4507338,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-08,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-09,0.4881802,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-12,0.32490408,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-13,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-14,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-15,0.4507338,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-16,0.33993992,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-20,0.7042657,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-21,0.39399546,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-22,0.36386058,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-23,0.57543164,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-26,0.5431728,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-27,0.13801017,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-28,0.30215287,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-02-29,0.63032985,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-01,0.60097843,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-04,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-05,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-06,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-07,0.49725738,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-08,0.25852534,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-11,0.30826512,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-12,0.39691725,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-13,0.40320572,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-14,0.3697732,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-15,0.45750436,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-18,0.43408436,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-19,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-20,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-21,0.6347736,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-22,0.2772115,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-25,0.17860729,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-26,0.18663791,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-27,0.3159183,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-03-28,0.69460094,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-01,0.6280747,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-02,0.41084203,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-03,0.017441899,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-04,0.017441899,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-05,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-08,0.60097843,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-09,0.70235026,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-10,0.40186098,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-11,0.39599466,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-12,0.6633372,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-15,0.4565227,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-16,0.56850064,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-17,0.56850064,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-18,0.5565718,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-19,0.30422395,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-22,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-23,0.30208415,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-24,0.3630174,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-25,0.32490408,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-26,0.6186243,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-29,0.3438328,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-04-30,0.4942841,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-01,0.6576192,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-02,0.58036804,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-03,0.5067165,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-06,0.50962985,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-07,0.3964367,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-08,0.64980817,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-09,0.40929815,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-10,0.35217622,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-13,0.28153646,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-14,0.64980817,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-15,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-16,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-17,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-20,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-21,0.37493837,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-22,0.49432322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-23,0.6800319,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-24,0.4316512,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-28,0.30116174,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-29,0.19960925,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-30,0.19850367,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-05-31,0.34612852,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-03,0.72400075,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-04,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-05,0.35920346,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-06,0.024836749,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-07,0.39693967,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-10,0.40925682,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-11,0.071994066,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-12,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-13,0.33411708,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-14,0.20977712,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-17,0.31621072,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-18,0.46402422,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-20,0.1552423,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-21,0.29549152,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-24,0.40744355,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-25,0.40744355,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-26,0.4158299,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-27,0.58998597,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-06-28,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-01,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-02,0.7086234,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-03,0.6534574,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-05,0.5139979,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-08,0.41557783,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-09,0.2768426,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-10,0.28414667,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-11,0.45238933,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-12,0.27290928,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-15,0.26771447,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-16,0.32054788,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-17,0.43103346,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-18,0.38960183,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-19,0.37793806,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-22,0.2902579,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-23,0.18381122,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-24,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-25,0.34897298,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-26,0.08985424,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-29,0.41649204,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-30,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-07-31,0.45500708,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-01,0.63558793,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-02,0.32490408,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-05,0.3493644,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-06,0.6469846,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-07,0.35585424,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-08,0.24460799,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-09,0.6766905,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-12,0.89623344,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-13,0.2940855,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-14,0.41503614,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-15,0.3756203,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-16,0.5100965,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-19,0.19171125,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-20,0.22780791,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-21,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-22,0.64980817,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-23,0.069824874,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-26,0.31010532,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-27,0.28153646,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-28,0.34637815,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-29,0.764899,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-08-30,0.39957964,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-03,0.16392455,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-04,0.35607624,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-05,0.56878227,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-06,0.45618713,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-09,0.31199342,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-10,0.5316686,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-11,0.4507338,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-12,0.37799963,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-13,0.12534559,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-16,0.64609843,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-17,0.010739878,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-18,0.75414276,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-19,0.45715985,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-20,0.55490226,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-23,0.60097843,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-24,0.47802788,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-25,0.43412393,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-26,0.23371433,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-27,0.0,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-09-30,0.56814957,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-01,0.27117264,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-02,0.5949787,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-03,0.0596312,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-04,0.4621172,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-07,0.5236379,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-08,0.48183239,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-09,0.4203117,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-10,0.37997773,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-11,0.68046695,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-14,0.4507338,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-15,0.3572884,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-16,0.31192678,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-17,0.35974973,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-18,0.40146112,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-21,0.27808964,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-22,0.27230513,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-23,0.43031633,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-24,0.29462323,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-25,0.20587586,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-28,0.27865666,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-29,0.38130322,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-30,0.60097843,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-10-31,0.06260118,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-01,0.31870204,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-04,0.43829986,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-05,0.21786375,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-06,0.078654185,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
2024-11-07,0.31283253,5,2015-01-01,2023-12-31,2024-01-01,2024-12-31
