date,asset_0,asset_1,asset_2,asset_3,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2022-01-04,0.34202918,0.19011614,0.1258255,0.34202918,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-05,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-06,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-07,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-10,0.3655293,0.1344707,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-11,0.3655293,0.1344707,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-12,0.3655293,0.1344707,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-13,0.1748777,0.1748777,0.1748777,0.47536692,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-14,0.13994947,0.13994947,0.3396789,0.38042215,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-18,0.16217323,0.44083256,0.16217323,0.23482099,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-19,0.29692274,0.29692274,0.10923177,0.29692274,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-20,0.34428245,0.34428245,0.18478064,0.12665443,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-21,0.14159323,0.38489035,0.14159323,0.3319232,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-24,0.1748777,0.47536692,0.1748777,0.1748777,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-25,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-26,0.17366108,0.4720598,0.17366108,0.1806181,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-27,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-28,0.15915543,0.2490599,0.15915543,0.43262932,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-31,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-01,0.47536692,0.1748777,0.1748777,0.1748777,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-02,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-03,0.1748777,0.1748777,0.1748777,0.47536692,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-04,0.3655293,0.1344707,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-07,0.29109257,0.15024695,0.40841356,0.15024695,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-08,0.29692274,0.10923177,0.29692274,0.29692274,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-09,0.1344707,0.1344707,0.3655293,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-10,0.34652093,0.13849936,0.13849936,0.3764803,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-11,0.3655293,0.1344707,0.3655293,0.1344707,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-14,0.4052914,0.14909837,0.14909837,0.29651195,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-15,0.33830538,0.124455586,0.19893363,0.33830538,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-16,0.40453717,0.29782104,0.14882089,0.14882089,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-17,0.1344707,0.3655293,0.3655293,0.1344707,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-18,0.29631937,0.11104187,0.29631937,0.29631937,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-22,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-23,0.3655293,0.3655293,0.1344707,0.1344707,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-24,0.32878757,0.32878757,0.120954186,0.22147065,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-25,0.1748777,0.1748777,0.1748777,0.47536692,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-28,0.20039429,0.46066636,0.16946967,0.16946967,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-01,0.1748777,0.47536692,0.1748777,0.1748777,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-02,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-03,0.1344707,0.3655293,0.1344707,0.3655293,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-04,0.23151554,0.16287377,0.16287377,0.44273686,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-07,0.21512488,0.35462543,0.21512488,0.21512488,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
