date,transaction_cost,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2022-01-04,12.036479949951172,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-05,15.247076986483565,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-06,7.437690411594414,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-07,16.175286594954777,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-10,23.78849375217029,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-11,27.001828686788425,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-12,13.911304495039273,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-13,29.695620283846377,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-14,39.98440094057702,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-18,31.45648464995922,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-19,12.841749103697172,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-20,33.99434459303401,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-21,39.322738441740555,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-24,66.3518731246858,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-25,76.04769976655315,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-26,24.80026300016286,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-27,46.562386045332204,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-28,44.69332238307786,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-01-31,49.874928243854846,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-01,47.27301155292138,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-02,42.02474707330294,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-03,58.50963503290871,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-04,47.03061293338228,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-07,51.775466249470014,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-08,25.057781466178902,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-09,39.402968619041836,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-10,62.943197276045,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-11,55.87900463047898,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-14,78.5486280302821,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-15,56.13327959130981,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-16,37.73020853454605,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-17,26.482006467801867,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-18,24.197954958074437,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-22,36.79034107830375,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-23,64.85703133647715,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-24,103.48946254027524,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-25,68.05982356352928,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-02-28,51.01340540119222,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
2022-03-01,34.87162715544115,3,2013-01-01,2021-12-31,2022-01-01,2022-12-31
