date,asset_0,asset_1,asset_2,asset_3,iteration,train_start_date,train_end_date,test_start_date,test_end_date
2021-01-05,0.23523413,0.26045695,0.25445786,0.2498511,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-06,0.23757686,0.2557904,0.26666403,0.2399687,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-07,0.23419876,0.26410368,0.26691112,0.2347864,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-08,0.2481346,0.25355625,0.25039294,0.24791622,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-11,0.24188453,0.26267782,0.26312804,0.23230967,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-12,0.23298433,0.2591911,0.262418,0.2454066,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-13,0.24114832,0.25198552,0.25954616,0.24731995,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-14,0.23890294,0.2583622,0.25710094,0.24563393,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-15,0.23963232,0.25290078,0.26102924,0.24643768,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-19,0.25694466,0.24396901,0.25072396,0.2483624,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-20,0.2596633,0.2374379,0.25416687,0.24873187,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-21,0.26086575,0.23152542,0.26141948,0.24618934,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-22,0.27218628,0.22807401,0.25521544,0.24452431,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-25,0.2624641,0.23013887,0.26191753,0.2454795,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-26,0.27371264,0.22462909,0.25716382,0.24449447,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-27,0.273387,0.23389502,0.24950196,0.24321601,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-28,0.26999426,0.237682,0.24749525,0.24482845,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-01-29,0.27417815,0.22888424,0.2579095,0.23902808,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-01,0.2568786,0.24576646,0.25229058,0.24506432,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-02,0.26965895,0.23586003,0.25504774,0.23943323,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-03,0.2628451,0.24312541,0.2535911,0.24043839,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-04,0.27062815,0.23706786,0.2552768,0.23702717,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-05,0.262193,0.24537037,0.2547096,0.23772703,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-08,0.26200196,0.2578953,0.2509316,0.2291711,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-09,0.25845885,0.25141957,0.2557503,0.23437127,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-10,0.262624,0.24811973,0.25802478,0.23123148,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-11,0.25640714,0.2547851,0.24955398,0.23925383,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-12,0.26425454,0.24600346,0.2526796,0.23706245,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-16,0.2602397,0.25320938,0.24665521,0.23989572,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-17,0.27040774,0.24194644,0.25417474,0.23347108,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-18,0.2553263,0.252344,0.25226575,0.240064,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-19,0.26010364,0.2514199,0.2546606,0.23381583,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-22,0.2530276,0.24841073,0.25871724,0.23984449,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-23,0.25630763,0.25100684,0.25363278,0.23905273,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-24,0.2530954,0.25651124,0.24405774,0.24633563,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-25,0.2585248,0.25234994,0.24814925,0.24097602,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-02-26,0.26303297,0.2562679,0.24673653,0.23396258,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-01,0.2576427,0.25404304,0.251984,0.23633026,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-02,0.2656414,0.24798639,0.2509088,0.23546344,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-03,0.26264286,0.24254295,0.24888259,0.2459316,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-04,0.26534027,0.24605481,0.24890313,0.23970178,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-05,0.25267062,0.2522851,0.24638715,0.24865706,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-08,0.24702656,0.25303406,0.24654585,0.2533935,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-09,0.24545844,0.2510067,0.2516563,0.25187862,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-10,0.2530423,0.24940105,0.25096786,0.2465888,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-11,0.2551681,0.24842224,0.24913616,0.2472735,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-12,0.2536279,0.25089556,0.25081494,0.24466157,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-15,0.25717473,0.25041473,0.24942963,0.24298091,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-16,0.25486323,0.24931858,0.25094724,0.2448709,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-17,0.2605786,0.24701297,0.2523826,0.24002583,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-18,0.2538984,0.24751902,0.25649503,0.24208751,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-19,0.25859222,0.24702303,0.25129595,0.24308878,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-22,0.26099473,0.24417537,0.25464576,0.24018417,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-23,0.2550721,0.24904557,0.25020656,0.24567583,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-24,0.25671974,0.24798833,0.25184813,0.24344374,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-25,0.2567892,0.24679695,0.25517508,0.24123882,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-26,0.23682518,0.25811633,0.26782003,0.23723838,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-29,0.25192046,0.24851309,0.26145852,0.23810792,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-30,0.25520077,0.25102052,0.25634143,0.23743726,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-03-31,0.25769714,0.24030313,0.26307604,0.23892364,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
2021-04-01,0.2517557,0.24631736,0.25509733,0.2468296,2,2012-01-01,2020-12-31,2021-01-01,2021-12-31
