date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,a2c_mean,a2c_sd
2019-01-03,1002498.7404528508,1002626.6228931996,1002424.7156064962,1002539.1137105752,1002561.5806612528,1002530.154664875,67.04957057757159
2019-01-04,1004263.6053500156,1004588.675657422,1004859.0613195768,1004994.919647634,1004829.746971976,1004707.2017893249,257.56026464541713
2019-01-07,1005543.752942909,1005546.3898138574,1005204.3161636032,1005229.7477971768,1005417.1108897382,1005388.2635214569,147.63259836092027
2019-01-08,1006704.9060323423,1006759.9709613624,1006272.3359113474,1006329.583976262,1006510.1233066666,1006515.3840375962,194.60887930651873
2019-01-09,1007556.1298984396,1007427.7998381376,1006825.9130441564,1006724.760341478,1006910.44605573,1007089.0098355884,336.6786176887976
2019-01-10,1010717.6951876796,1010599.4055588172,1009914.9062795612,1009912.2262686916,1010072.295839374,1010243.3058268247,345.9932476456253
2019-01-11,1008120.483494764,1007973.639194914,1007151.7897099336,1007174.720790375,1007182.3271972748,1007520.5920774523,432.4781302859137
2019-01-14,1008945.758620136,1008872.1501970752,1008081.517901838,1007995.4278120308,1008164.535824102,1008411.8780710364,410.03066164675425
2019-01-15,1007430.8153332428,1007923.9659871534,1007290.2924298872,1006992.5594554202,1007063.872746096,1007340.3011903599,331.2688576424842
2019-01-16,1007460.333406304,1008360.3559933844,1007907.1907071696,1007550.7690871204,1007317.3302824792,1007719.1958952915,375.04710886929087
2019-01-17,1008192.756096301,1008903.598299938,1008708.6584993432,1008338.8067894723,1008221.4934824352,1008473.062633498,283.1076813854212
2019-01-18,1009378.3685112848,1009567.4564431068,1009564.2840888756,1009485.89782106,1009319.2389452734,1009463.0491619201,99.52250301207808
2019-01-22,1007640.4493276756,1008209.1199839484,1007859.1637169364,1008653.252238632,1008873.7833809564,1008247.1537296297,464.2528979007945
2019-01-23,1006932.2912726688,1008219.951891608,1007686.344977986,1008584.3864339738,1008597.6559157544,1008004.1260983981,630.1389066364218
2019-01-24,1006662.9957656412,1007937.0640472912,1007373.559595357,1008280.2638129826,1008347.2033209316,1007720.2173084408,631.1378638393811
2019-01-25,1007469.7338954544,1008505.5300668502,1007676.5640012032,1009259.597032866,1009203.6485230456,1008423.0147038838,745.9223671618905
2019-01-28,1011581.3346706196,1012512.292854912,1011452.7536779944,1013391.6697260088,1013347.848260542,1012457.1798380155,830.1295925895706
2019-01-29,1010268.1128207376,1011561.1570832528,1010522.3059985364,1012451.393683102,1012283.9430575628,1011417.3825286382,890.2539184566535
2019-01-30,1012224.566405081,1013397.617197052,1012031.6700821532,1014380.4943912775,1014194.4765683786,1013245.7649287885,972.3781734448964
2019-01-31,1017338.442137902,1018314.9680966508,1016683.9982816472,1019589.290253962,1019402.1536046736,1018265.7704749672,1132.0276273250133
2019-02-01,1021093.9926048904,1021946.3507271094,1020327.8798284484,1023193.0242804926,1023081.9227893216,1021928.6340460523,1112.484774868299
2019-02-04,1018230.764035886,1019181.1389359032,1017616.2388258284,1020506.0422054247,1020533.42399144,1019213.5215988964,1177.363594290142
2019-02-05,1016711.7723096472,1017975.0522075174,1016724.2340283176,1019452.044486555,1019403.6597423472,1018053.3525548769,1212.616441972139
2019-02-06,1018925.6205581406,1020161.0967399512,1018826.6470324666,1021679.1986435676,1021617.2514606544,1020241.9628869562,1240.925518261281
2019-02-07,1017273.86471587,1018501.158433286,1017110.476871446,1020158.1357089166,1019906.7642163044,1018590.0799891645,1274.520393635353
2019-02-08,1016972.8096095336,1018678.5156429237,1017125.8436436426,1020173.974502702,1019887.6419427448,1018567.7570683094,1338.4520694182809
2019-02-11,1018696.5536799025,1020566.3035371364,1018996.191506954,1022015.1936948376,1021746.9308817162,1020404.2346601093,1365.5071092673759
2019-02-12,1015679.2462463503,1017660.4149506256,1016018.8146079972,1019119.5830024967,1018525.2637309848,1017400.664507691,1353.4891557145017
2019-02-13,1017909.71378936,1019959.551019247,1018761.9599227704,1020935.5090774408,1020755.9698562472,1019664.5407330131,1165.1333703704436
2019-02-14,1015919.568638486,1017861.9830384344,1016176.5949701164,1018909.0917190036,1018988.2117551746,1017571.0900242429,1308.0703822625542
2019-02-15,1018621.2426197611,1020831.12696069,1019312.2866669922,1021786.3457247948,1021786.2398437766,1020467.448363203,1292.581721472767
2019-02-19,1022067.180775484,1024685.374978484,1022957.1708641908,1025766.0658164732,1025878.8039525864,1024270.9192774438,1521.5076804406692
2019-02-20,1025572.7512144134,1028257.4469822188,1026223.1032343286,1029454.9947383308,1029429.836564222,1027787.6265467029,1615.6179995449502
2019-02-21,1024564.5543333174,1027354.0610660448,1024835.9388096656,1028500.4497971354,1028422.1961226964,1026735.440025772,1712.5388856713162
2019-02-22,1020503.337626484,1022699.0862148176,1019958.8769829732,1024015.0801442026,1023596.5668075004,1022154.5895551955,1636.153224620297
2019-02-25,1023191.4012248232,1026073.5073955348,1023059.457831526,1027307.118209066,1027012.6380696172,1025328.8245461134,1845.103253734474
2019-02-26,1021451.667460226,1024625.3496226384,1021449.7192252736,1025929.3819576434,1025811.4080488356,1023853.5052629234,2014.219612239683
2019-02-27,1023521.811215454,1026751.8848975124,1023460.6517004408,1028034.044214258,1027671.1777442785,1025887.9139543887,2001.1194291123663
2019-02-28,1018564.8635129852,1022102.2858659318,1018395.1804487868,1023226.2553932706,1022783.5769674452,1021014.4324376838,2100.7773386813938
2019-03-01,1015275.3052462052,1018925.018873454,1015140.7168090524,1019972.8165099528,1019310.6574980702,1017724.902987347,2082.6213295256034
2019-03-04,1010354.5234933333,1014103.8987062128,1009186.2039342612,1015120.41109041,1014162.661750856,1012585.5397950147,2355.8954969863553
2019-03-05,1010998.5324845716,1014992.624424704,1009815.5453244807,1015715.4144974366,1014717.5813714116,1013247.9396205209,2372.0610142602727
2019-03-06,1011022.0921323848,1014976.729250596,1009271.2443387596,1015587.6238713044,1014698.1035671964,1013111.1586320482,2499.6307191681035
2019-03-07,1010595.6526334028,1014660.1973203328,1008454.5071473372,1015057.6330099192,1013888.2941031576,1012531.25684283,2573.8285084891018
2019-03-08,1009984.8367694656,1014121.2444849162,1007794.3363780248,1014513.3643078,1013296.012431002,1011941.9588742417,2616.4086842589827
2019-03-11,1013627.7564247848,1017687.1377245466,1011146.1226790324,1017738.4095270528,1017022.9197784992,1015444.4692267831,2629.047686360214
2019-03-12,1014521.587281832,1018555.7498769816,1013160.1348455038,1019517.0716193751,1018512.1639800848,1016853.3415207556,2522.7840802604237
2019-03-13,1017998.5410391764,1021966.0549319382,1016558.9793455208,1022803.6979318996,1021974.2099857508,1020260.2966468573,2495.2470238901224
2019-03-14,1020593.7931299324,1024468.5191093426,1019091.6569869148,1025623.55368007,1024797.8739237324,1022915.0793659985,2580.7305931246106
2019-03-15,1015332.5062831744,1019207.0265882516,1013978.0519659998,1020713.209577435,1019728.5215093852,1017791.8631848491,2641.2568997594944
2019-03-18,1018580.3775379432,1022935.5591684934,1017596.752051106,1024481.9553964668,1023573.806380308,1021433.6901068635,2792.529888027063
2019-03-19,1019479.1412261204,1023793.2536898112,1018289.396492658,1025514.66658082,1024713.0006788272,1022357.8917336473,2912.4521467365066
2019-03-20,1019372.4298497651,1023788.6584103204,1018316.7219838072,1025527.5081488031,1024697.500522778,1022340.5637830949,2926.0849306288337
2019-03-21,1022837.0203444882,1028299.921769798,1022128.9857352548,1029744.0465321644,1028771.6472348488,1026356.3243233109,3204.4940193040147
2019-03-22,1024070.1741484666,1029788.9001177278,1024179.7113175612,1031606.6736498872,1030798.2986569484,1028088.7515781183,3287.4758234528326
2019-03-25,1025362.4156954308,1031683.0198168056,1025662.921400332,1032599.7563556576,1031736.0470461207,1029408.8320628693,3199.224577022216
2019-03-26,1026733.0888456866,1033029.7241271802,1027048.6128390372,1034012.1567766784,1033407.7170491976,1030846.2599275559,3246.2834476981193
2019-03-27,1025631.3652357229,1032364.7619995744,1025978.7848530032,1033268.1695535376,1032061.8246982846,1029860.9812680244,3337.1443647119777
2019-03-28,1025469.0738096908,1031886.3553088632,1026134.9746257204,1033545.3029122192,1031817.4767801614,1029770.6366873311,3305.6136064868438
2019-03-29,1023201.3032935197,1030306.7829974256,1023261.7012419208,1031938.7247303794,1030075.3628583084,1027756.7750243107,3750.336106275415
2019-04-01,1023988.9265991916,1031090.4310114144,1024100.701754242,1032862.383852008,1031071.9382481608,1028622.8762930032,3794.3038206029205
2019-04-02,1021694.7229031308,1028539.6496973468,1021781.6725063492,1030582.9613641396,1029306.6051407472,1026381.1223223427,3846.827773863107
2019-04-03,1022725.2973518934,1029677.3174730712,1022870.862849089,1031616.3246063074,1030233.93697785,1027424.7478516422,3830.3428763625725
2019-04-04,1020679.153197655,1027749.6959962448,1020822.5710918496,1029732.3635694112,1028314.9287426624,1025459.7425195646,3898.939831397565
2019-04-05,1022117.0082829064,1029129.7211719052,1022078.6615000328,1031145.691895244,1029765.8955069456,1026847.3956714068,3932.4138096246143
2019-04-08,1022772.4353439414,1029696.2102326354,1022633.8744805282,1031885.1857746156,1030649.4469992488,1027527.4305661939,3999.9373253480185
2019-04-09,1023472.571838413,1030070.989174307,1023148.1514930456,1032531.6465517269,1031257.8719357428,1028096.2461986471,3985.7312809212654
