date,portfolio_value
2022-01-03,1001476.1334283439
2022-01-04,991918.1065239998
2022-01-05,991197.2313254434
2022-01-06,984348.5184731983
2022-01-07,982167.5729810095
2022-01-10,981307.4261144215
2022-01-11,983016.0658237367
2022-01-12,989856.5545752075
2022-01-13,991659.5185200764
2022-01-14,990480.7714973907
2022-01-18,985976.9844398911
2022-01-19,976955.4439903026
2022-01-20,980585.6253908068
2022-01-21,978950.7400149369
2022-01-24,977513.1238962346
2022-01-25,977205.1613155352
2022-01-26,974787.093130583
2022-01-27,965662.0650988623
2022-01-28,964167.1042532783
2022-01-31,969726.192619174
2022-02-01,974484.0723101273
2022-02-02,976451.772685609
2022-02-03,981162.1754013278
2022-02-04,971995.8637784532
2022-02-07,969454.2803031188
2022-02-08,970835.8731095549
2022-02-09,971118.0996397595
2022-02-10,975953.6289552355
2022-02-11,965474.3204176741
2022-02-14,970476.8171468872
2022-02-15,967247.089214261
2022-02-16,966193.9039882952
2022-02-17,970678.2415422759
2022-02-18,971841.7057961395
2022-02-22,972112.0134914616
2022-02-23,970704.2381511418
2022-02-24,964387.1891433097
2022-02-25,965465.8837262181
2022-02-28,970193.6500089344
2022-03-01,978658.8168785498
2022-03-02,982535.276373257
2022-03-03,974597.6667765924
2022-03-04,977376.9011804278
2022-03-07,984946.7096889766
2022-03-08,978474.0022792917
2022-03-09,981746.8682562081
2022-03-10,978240.1795328778
2022-03-11,973811.6275239617
2022-03-14,967469.2369154597
2022-03-15,954412.8902793219
2022-03-16,954599.8009090004
2022-03-17,963003.9632956992
2022-03-18,965246.1208291001
2022-03-21,967890.331487757
2022-03-22,963327.5581532025
2022-03-23,958613.4274715434
2022-03-24,963496.7452392632
2022-03-25,964594.1562782896
2022-03-28,961659.0603716135
2022-03-29,957820.4480442704
2022-03-30,964501.5041399454
2022-03-31,968982.0490476586
2022-04-01,965935.8872328541
2022-04-04,964432.8743634019
2022-04-05,965549.7648001631
2022-04-06,953889.9028531673
2022-04-07,949913.6179345425
2022-04-08,949937.956517856
2022-04-11,947339.5041701717
2022-04-12,938831.9814118542
2022-04-13,939565.7432715928
2022-04-14,943198.7571387702
2022-04-18,934282.6923079507
2022-04-19,931995.6509069472
2022-04-20,926985.7912360268
2022-04-21,934780.3652722748
2022-04-22,927578.8708890436
2022-04-25,917057.1490341248
2022-04-26,917534.334300937
2022-04-27,914709.8834197319
2022-04-28,909106.172507079
2022-04-29,911776.1443756142
2022-05-02,902344.5781655796
2022-05-03,894828.3246513484
2022-05-04,898110.1859363427
2022-05-05,910168.5111461357
2022-05-06,893317.0231854047
2022-05-09,888256.6785522798
2022-05-10,880442.0981614317
2022-05-11,880751.4743560749
2022-05-12,884092.4850703928
2022-05-13,882666.773181846
2022-05-16,881317.828972078
2022-05-17,882632.1404296203
2022-05-18,882632.460506381
2022-05-19,880601.5704635627
2022-05-20,883860.3431813278
2022-05-23,886438.1088450666
2022-05-24,887938.2882093561
2022-05-25,894021.4465233771
2022-05-26,894865.9474787997
2022-05-27,898305.2913005737
2022-05-31,904392.2868790724
2022-06-01,893125.9448491661
2022-06-02,890091.8529116268
2022-06-03,897740.2764876293
2022-06-06,889428.7322678306
2022-06-07,883346.6064012932
2022-06-08,887982.7356292582
2022-06-09,880691.0764443177
2022-06-10,875297.5996959368
2022-06-13,870687.4888586252
2022-06-14,849812.1409326319
2022-06-15,843511.2985891014
2022-06-16,855548.4182526073
2022-06-17,855290.7821000054
2022-06-21,849918.8430512932
2022-06-22,848297.6785978411
2022-06-23,855333.6061147412
2022-06-24,859835.4941879169
2022-06-27,863014.7449652101
2022-06-28,859797.8039479288
2022-06-29,854871.4258012357
2022-06-30,857216.4253701244
2022-07-01,857430.9102899919
2022-07-05,862435.5495968396
2022-07-06,859184.8232277591
2022-07-07,852745.088706187
2022-07-08,853839.9577067072
2022-07-11,851299.0346391989
2022-07-12,849385.1835629268
2022-07-13,848914.0347747497
2022-07-14,850411.3674196001
2022-07-15,842802.7409544158
2022-07-18,848153.8083584799
2022-07-19,845084.3700330165
2022-07-20,849970.3980191842
2022-07-21,849758.9803215152
2022-07-22,859782.768036306
2022-07-25,864401.8510430411
2022-07-26,860827.9363494061
2022-07-27,857783.0440707976
2022-07-28,864958.2552370433
2022-07-29,875496.8812300169
2022-08-01,880342.2270482011
2022-08-02,889092.4950046975
2022-08-03,879101.2128445773
2022-08-04,885194.3155215489
2022-08-05,890405.081387029
2022-08-08,878622.7006758661
2022-08-09,883678.5856539278
2022-08-10,882427.0947662086
2022-08-11,888892.3138613249
2022-08-12,882778.8426988855
2022-08-15,890217.6757408835
2022-08-16,888332.5253695468
2022-08-17,887719.798605966
2022-08-18,881118.3984555546
2022-08-19,880141.3929462795
2022-08-22,870432.4184528452
2022-08-23,862674.7275035294
2022-08-24,863583.6341260881
2022-08-25,862857.5871499117
2022-08-26,870518.661198317
2022-08-29,860591.1321351691
2022-08-30,855623.7832548211
2022-08-31,851991.3281191894
2022-09-01,846341.1084029989
2022-09-02,839259.2739734232
2022-09-06,840081.183790655
2022-09-07,829174.1001738266
2022-09-08,836828.4996498952
2022-09-09,834504.7921318039
2022-09-12,841174.7685524266
2022-09-13,842580.1687372016
2022-09-14,828756.8798260236
2022-09-15,831351.2967248737
2022-09-16,824560.9785052459
2022-09-19,823204.731698996
2022-09-20,824936.3766238309
2022-09-21,818703.9403533142
2022-09-22,819198.2979756909
2022-09-23,814365.8547704343
2022-09-26,806811.8174117056
2022-09-27,796790.0947544222
2022-09-28,791259.7693351259
2022-09-29,806837.2574084962
2022-09-30,801011.9032249502
2022-10-03,795095.1744888164
2022-10-04,808302.8271095401
2022-10-05,817865.1697904607
2022-10-06,813545.7016715708
2022-10-07,809113.1755431668
2022-10-10,798849.5219477809
