date,portfolio_value
2022-01-03,1000048.4651533094
2022-01-04,991600.1955712435
2022-01-05,989373.2784379158
2022-01-06,981812.6047320949
2022-01-07,981485.3040769256
2022-01-10,979626.0329907708
2022-01-11,981092.8984510418
2022-01-12,986979.7776013525
2022-01-13,988625.3798024873
2022-01-14,987860.0078821362
2022-01-18,983058.9815786256
2022-01-19,972680.3806301579
2022-01-20,974073.8456227521
2022-01-21,972601.859639801
2022-01-24,971501.0429536973
2022-01-25,970135.7051123577
2022-01-26,966702.4113214043
2022-01-27,958887.8483195927
2022-01-28,959446.1027975276
2022-01-31,966553.482736517
2022-02-01,971111.094889854
2022-02-02,973288.2170764955
2022-02-03,978202.207694005
2022-02-04,967609.2750341296
2022-02-07,964324.2229090971
2022-02-08,964616.6150695821
2022-02-09,964396.219745186
2022-02-10,969484.3015367392
2022-02-11,957811.4589376074
2022-02-14,960280.178409779
2022-02-15,955520.1718312777
2022-02-16,955988.2054421101
2022-02-17,959412.6477615263
2022-02-18,958317.1939746407
2022-02-22,958765.6929353733
2022-02-23,956740.7202787399
2022-02-24,948536.5740812221
2022-02-25,950945.0011046297
2022-02-28,957070.1454349952
2022-03-01,965126.1877970024
2022-03-02,966376.3397930993
2022-03-03,958991.4606670842
2022-03-04,961167.896220013
2022-03-07,967135.7293978567
2022-03-08,956889.2225106612
2022-03-09,953653.9680457717
2022-03-10,955131.4296760851
2022-03-11,949436.3872670117
2022-03-14,943344.512311981
2022-03-15,930893.1960138939
2022-03-16,934377.9384755186
2022-03-17,943050.0570984415
2022-03-18,944792.5691359479
2022-03-21,949425.223011142
2022-03-22,942747.8643425241
2022-03-23,938551.5349253177
2022-03-24,941823.7735049773
2022-03-25,941814.4119301277
2022-03-28,939134.7028518636
2022-03-29,937891.1317352068
2022-03-30,941557.939402414
2022-03-31,946891.866880863
2022-04-01,944919.9037502611
2022-04-04,942083.8916796081
2022-04-05,944219.1167659078
2022-04-06,934465.59253264
2022-04-07,932398.7455440367
2022-04-08,933475.8901438662
2022-04-11,933447.3446202737
2022-04-12,928974.5940626912
2022-04-13,931625.4202479172
2022-04-14,935485.7953250667
2022-04-18,928371.2740760824
2022-04-19,927645.5963366154
2022-04-20,919944.817922834
2022-04-21,926708.9202718361
2022-04-22,920724.2231987554
2022-04-25,910728.7653652219
2022-04-26,906142.2411840198
2022-04-27,904606.2786859144
2022-04-28,898675.5360122961
2022-04-29,901979.5571712727
2022-05-02,895422.3406116122
2022-05-03,885216.3804736581
2022-05-04,888192.1167773851
2022-05-05,899155.4565100912
2022-05-06,885834.7826832337
2022-05-09,878717.5283196248
2022-05-10,871923.9603655632
2022-05-11,873669.9252322665
2022-05-12,876266.8632893764
2022-05-13,877110.4771819033
2022-05-16,876853.47674031
2022-05-17,876836.7456605115
2022-05-18,877870.5343885121
2022-05-19,875383.9061700468
2022-05-20,876816.6084266494
2022-05-23,879738.9266573497
2022-05-24,880739.346111577
2022-05-25,886662.2677267661
2022-05-26,888660.5203372554
2022-05-27,893025.455788168
2022-05-31,900125.1041027214
2022-06-01,888478.6844415813
2022-06-02,883831.7751527171
2022-06-03,890809.9143312981
2022-06-06,882711.9611293024
2022-06-07,876272.4227300851
2022-06-08,880662.5406570772
2022-06-09,872226.6227269659
2022-06-10,866403.5339624474
2022-06-13,858802.7298219571
2022-06-14,838605.0787893567
2022-06-15,832480.0087234902
2022-06-16,844550.2256057843
2022-06-17,842465.9602541507
2022-06-21,837481.644412598
2022-06-22,836171.7547823766
2022-06-23,843783.3679841332
2022-06-24,850028.7107667908
2022-06-27,853920.9091002819
2022-06-28,850319.4738922806
2022-06-29,844795.9797785286
2022-06-30,847669.8033769325
2022-07-01,848888.5662240968
2022-07-05,854905.7238920023
2022-07-06,854481.8330438558
2022-07-07,849416.031142058
2022-07-08,850622.8297530747
2022-07-11,847547.4732530363
2022-07-12,846137.1601926327
2022-07-13,846169.9824718437
2022-07-14,847182.2288236152
2022-07-15,840413.4461750285
2022-07-18,847067.65330662
2022-07-19,843276.790220855
2022-07-20,848689.5913660278
2022-07-21,849936.5333388097
2022-07-22,859593.2121358061
2022-07-25,864675.3867583396
2022-07-26,860873.7810478866
2022-07-27,857494.0807644449
2022-07-28,865135.8695867743
2022-07-29,875677.0116232778
2022-08-01,879806.7670095216
2022-08-02,887422.2108540405
2022-08-03,878862.8220115377
2022-08-04,883767.7702870494
2022-08-05,891799.2872549996
2022-08-08,880530.802642012
2022-08-09,886316.2114337012
2022-08-10,886253.009249652
2022-08-11,890126.1516519563
2022-08-12,885138.1228887278
2022-08-15,892802.0125066643
2022-08-16,888027.5679584998
2022-08-17,887132.1055418577
2022-08-18,880793.1241092667
2022-08-19,879417.4667897292
2022-08-22,870697.0049113183
2022-08-23,863532.2478585007
2022-08-24,865982.6767514807
2022-08-25,866240.7515737334
2022-08-26,872417.9989973771
2022-08-29,862272.5749823962
2022-08-30,858951.2593357564
2022-08-31,854247.6860566884
2022-09-01,848301.8008302992
2022-09-02,841095.8436591293
2022-09-06,843897.3408336183
2022-09-07,834752.2768086138
2022-09-08,842693.2736545313
2022-09-09,839536.5213452319
2022-09-12,845563.3165003248
2022-09-13,847839.2763131461
2022-09-14,834794.5278519152
2022-09-15,835657.4105016674
2022-09-16,826192.4609340555
2022-09-19,826619.506544875
2022-09-20,828027.117697225
2022-09-21,822231.2527082334
2022-09-22,823725.6981478728
2022-09-23,820183.6828978884
2022-09-26,810603.8176568913
2022-09-27,800726.9731931462
2022-09-28,797332.5487493896
2022-09-29,813293.0703103198
2022-09-30,809138.1739161073
2022-10-03,804973.0820033689
2022-10-04,820206.9480238185
2022-10-05,830525.7773681239
2022-10-06,826075.3373300101
2022-10-07,822647.4084931826
2022-10-10,812637.7975809124
2022-10-11,803227.6742611248
2022-10-12,801954.8407005899
2022-10-13,803365.2042259844
2022-10-14,802687.3013269225
2022-10-17,792204.5300397811
2022-10-18,795820.1444373569
2022-10-19,798271.2476517317
2022-10-20,790161.7679565436
2022-10-21,783370.2923741811
2022-10-24,790583.2676194501
2022-10-25,788862.4878003035
2022-10-26,801449.5940596251
2022-10-27,806053.6672306001
2022-10-28,807520.509760641
2022-10-31,808537.1391869498
2022-11-01,802399.816308161
2022-11-02,805350.5374296737
2022-11-03,798153.2838240302
2022-11-04,793539.3845302416
2022-11-07,797876.4792213606
2022-11-08,797582.8232457184
2022-11-09,805174.0464570889
2022-11-10,799027.0301281265
2022-11-11,832827.3348830338
2022-11-14,839442.2473636928
2022-11-15,835171.0213042508
2022-11-16,842398.5034634457
2022-11-17,845301.2312070417
2022-11-18,839826.1975404145
2022-11-21,838386.2961063244
2022-11-22,835023.7946396092
2022-11-23,843420.021950126
2022-11-25,853237.2758277599
2022-11-28,852969.4886968101
2022-11-29,849094.203228504
2022-11-30,846388.4103604291
2022-12-01,858606.2445114471
2022-12-02,873721.8354529489
2022-12-05,878122.4918426409
2022-12-06,863366.9983264675
2022-12-07,863118.921110509
2022-12-08,870513.6525355537
2022-12-09,871305.6726699235
2022-12-12,863055.9260237877
2022-12-13,864764.2666496665
2022-12-14,874933.0654151638
2022-12-15,874828.6167071696
2022-12-16,863256.6547110475
2022-12-19,859966.2520826866
2022-12-20,852833.6011481329
2022-12-21,860489.3550795128
2022-12-22,863426.4339975888
2022-12-23,858507.1450797349
2022-12-27,855432.3510852822
2022-12-28,849001.8630273698
2022-12-29,842305.7556103896
2022-12-30,852900.8030889789
2023-01-03,853281.9700142496
2023-01-04,858436.3833254187
2023-01-05,861524.3164149906
2023-01-06,857084.42541406
2023-01-09,871826.7046859815
2023-01-10,873968.1668053708
2023-01-11,871038.3575452381
2023-01-12,877678.2165054086
2023-01-13,891601.4004659025
2023-01-17,894028.2996672423
2023-01-18,890423.0383230494
2023-01-19,891140.6147910916
2023-01-20,889979.6361476105
2023-01-23,887893.8426712248
2023-01-24,887693.0686188756
2023-01-25,892696.2403912039
2023-01-26,894922.6762075984
2023-01-27,894244.6009090034
2023-01-30,894790.6287353861
2023-01-31,889013.4209108802
2023-02-01,896208.15568511
2023-02-02,906179.0692665153
2023-02-03,908352.7960729375
2023-02-06,894131.7438481491
2023-02-07,887720.9003459627
2023-02-08,892255.3708815463
2023-02-09,890921.5308593323
2023-02-10,884590.0142283479
2023-02-13,884174.8876332579
2023-02-14,884219.8386096411
2023-02-15,883165.9897401823
2023-02-16,876875.1695764728
2023-02-17,872470.297742188
2023-02-21,874163.6324638933
2023-02-22,865758.1206092144
2023-02-23,864555.663856054
2023-02-24,866925.8714937716
2023-02-27,858420.1850527034
2023-02-28,861079.4013802173
2023-03-01,863292.1533942003
2023-03-02,863349.6639708158
2023-03-03,862415.1017299701
2023-03-06,873834.9796621802
2023-03-07,870460.3711225358
2023-03-08,860538.4863124378
2023-03-09,860627.1812502346
2023-03-10,863535.4391712161
2023-03-13,876827.5098416521
2023-03-14,888275.7455025765
2023-03-15,884799.4824542481
2023-03-16,891350.3468169229
2023-03-17,893387.6221708006
2023-03-20,908084.9901341543
2023-03-21,908918.8906621835
2023-03-22,900273.9834616669
2023-03-23,908540.1924874124
2023-03-24,913098.3643487036
2023-03-27,913964.0761100628
2023-03-28,905420.2915737584
2023-03-29,907749.5178150499
2023-03-30,906545.9646647046
2023-03-31,910639.4868974129
2023-04-03,917597.7558275355
2023-04-04,921494.2429480697
2023-04-05,925118.4948206636
2023-04-06,927772.1652278871
2023-04-10,927633.3108161867
2023-04-11,919100.748187274
2023-04-12,920018.7968290999
2023-04-13,920331.1113517374
2023-04-14,924070.3057469756
2023-04-17,916992.2278173161
2023-04-18,912955.2618367061
2023-04-19,915071.5857849532
2023-04-20,912801.0252846066
2023-04-21,914598.5803614871
2023-04-24,909732.734548091
2023-04-25,912500.2100788951
2023-04-26,915555.6544093927
2023-04-27,910552.1271062058
2023-04-28,911891.3274365757
2023-05-01,913190.5923786692
2023-05-02,904956.1938354621
2023-05-03,916451.0072034191
2023-05-04,921821.0308821539
2023-05-05,923267.597825856
2023-05-08,918154.0502973584
2023-05-09,916087.1181085687
2023-05-10,917757.859953061
2023-05-11,920490.5594683386
2023-05-12,917900.6402268437
2023-05-15,914209.355630724
2023-05-16,913639.4298716219
2023-05-17,906336.2925642513
2023-05-18,904751.9634210825
2023-05-19,898237.881886265
2023-05-22,902085.2302449945
2023-05-23,899882.3414068123
2023-05-24,899059.5118700088
2023-05-25,892781.3873615854
2023-05-26,888775.1181369085
2023-05-30,893263.5122016977
2023-05-31,898432.4628323095
2023-06-01,900059.4913472498
2023-06-02,906046.4882999624
2023-06-05,898973.1365921533
2023-06-06,901401.083971768
2023-06-07,902907.4774890919
2023-06-08,894245.9480099643
2023-06-09,904217.2176880282
2023-06-12,902445.501089182
2023-06-13,903822.7160731317
2023-06-14,899425.9170367679
2023-06-15,901535.7509912949
2023-06-16,907638.5318618553
2023-06-20,904023.154215758
2023-06-21,900186.2084400186
2023-06-22,898830.367204208
2023-06-23,891825.7044778514
2023-06-26,892674.7626962813
2023-06-27,893351.3577150529
2023-06-28,892055.5740283895
2023-06-29,891410.6833349917
2023-06-30,888370.4130986568
2023-07-03,895454.1523577297
2023-07-05,894714.6102966144
2023-07-06,891493.7677498126
2023-07-07,887410.8708783454
2023-07-10,891484.0857272398
2023-07-11,893343.4615656935
2023-07-12,897657.5302835642
2023-07-13,908601.241623983
2023-07-14,912290.7429209335
2023-07-17,908733.6363334771
2023-07-18,910148.381751464
2023-07-19,916654.3979888913
2023-07-20,917887.4155672218
2023-07-21,912205.8535034388
2023-07-24,908976.5490471972
2023-07-25,907525.3016715498
2023-07-26,910667.4319149366
2023-07-27,913976.5044185498
2023-07-28,904089.7305062282
2023-07-31,907725.378674161
2023-08-01,908174.2161550674
2023-08-02,899547.9228064197
2023-08-03,893565.9160452046
2023-08-04,890263.0424508466
2023-08-07,894636.8777632461
2023-08-08,892754.7377478159
2023-08-09,890240.0247536526
2023-08-10,887606.2873034915
2023-08-11,883527.1032367061
2023-08-14,883033.2698339293
2023-08-15,881691.6036478985
2023-08-16,877867.2308871313
