date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ddpg_mean,ddpg_sd
2019-01-03,1002656.528367535,1002268.4678640856,1002687.6123696878,1002580.1685447036,1002038.1748531108,1002446.1903998246,252.40394512290706
2019-01-04,1007010.0377306556,1005226.6494849052,1005220.1869393544,1008291.0385516932,1007389.2099059462,1006627.424522511,1219.5744993219578
2019-01-07,1004803.0441093626,1004425.0700014124,1003008.809601624,1004538.474112972,1004006.210447297,1004156.3216545336,628.6228432266066
2019-01-08,1004950.8670257344,1005198.2074541925,1003001.225040962,1004694.74642466,1004915.0724113152,1004552.0236713728,791.6792363654841
2019-01-09,1006597.183910552,1005911.542861582,1003998.3220169364,1003936.2828761608,1004241.4914982608,1004936.9646326986,1102.0188377234497
2019-01-10,1008728.0545820972,1008967.2783771468,1005324.7004043314,1006402.1768235668,1007939.993527735,1007472.4407429755,1399.1400710073485
2019-01-11,1004793.2719114457,1004112.3467037858,1000780.9099661632,1001938.0219020186,1003984.5091775171,1003121.811932186,1509.9910584616086
2019-01-14,1005081.8026544468,1004681.3559370168,1001656.8129307424,1003222.8994575638,1004464.5568348948,1003821.4855629329,1247.832506573497
2019-01-15,1003685.9252355192,1003612.329111742,999561.670071884,1002434.7187008268,1003193.0858546316,1002497.5457949206,1533.7585871206568
2019-01-16,1002391.6604586788,1001991.9657021264,1000816.3142599752,1000495.4731088598,1001692.6885647186,1001477.6204188718,713.8926735151357
2019-01-17,1002863.2049157872,1001352.5023076774,1001923.8894316892,1001445.5738275946,1003016.63712116,1002120.3615207818,698.3800892286561
2019-01-18,1002877.1482869948,1001809.4456414236,1004005.2761386348,1000848.6192744976,1003322.4746739528,1002572.5928031007,1119.1190035576774
2019-01-22,1000613.3861895336,1003255.790984096,999821.5681783132,997112.7682619302,999130.1268703856,999986.7280968517,2005.001801420571
2019-01-23,1002247.2396570608,1003408.270185175,1001607.0404180458,998705.18948103,998247.6750512044,1000843.082958503,2021.989281290429
2019-01-24,1001726.8808479788,1002157.6342303432,1000693.6883001676,998197.9928664878,997329.7267663912,1000021.1846022736,1923.2291234973868
2019-01-25,1004056.4831293316,1001878.1236370024,1003035.464191072,999140.1226615574,998990.793176949,1001420.1973591825,2043.0140177402045
