date,portfolio_value
2022-01-03,1001695.4147347311
2022-01-04,986886.5120731357
2022-01-05,987061.9056405425
2022-01-06,981468.8582165999
2022-01-07,978109.6550376693
2022-01-10,977053.0975055902
2022-01-11,979193.5213140247
2022-01-12,987080.3770054207
2022-01-13,987650.0620540188
2022-01-14,988297.9731020476
2022-01-18,981773.4407789705
2022-01-19,972757.6916804105
2022-01-20,976760.8729195545
2022-01-21,974098.5567659592
2022-01-24,969048.5606336531
2022-01-25,970716.409848286
2022-01-26,967315.3907025972
2022-01-27,958392.5181199294
2022-01-28,953897.4771703477
2022-01-31,962584.7846543355
2022-02-01,970346.0495040546
2022-02-02,973109.3680735247
2022-02-03,978671.189254118
2022-02-04,966943.8128707198
2022-02-07,966462.878287882
2022-02-08,966377.6870454834
2022-02-09,967841.4327550398
2022-02-10,974428.0518578572
2022-02-11,961217.3769272175
2022-02-14,963050.9532722952
2022-02-15,957820.4642349507
2022-02-16,958302.9065417266
2022-02-17,962449.2430501039
2022-02-18,965185.6897365476
2022-02-22,968419.0102969559
2022-02-23,968188.2034250231
2022-02-24,959756.70181989
2022-02-25,960677.0833614988
2022-02-28,964173.9843039191
2022-03-01,976397.5140001705
2022-03-02,982639.6739307898
2022-03-03,973656.3611110845
2022-03-04,976832.3559060906
2022-03-07,984031.5498291084
2022-03-08,972393.1124743241
2022-03-09,969404.4968966338
2022-03-10,971330.3025150783
2022-03-11,964746.9899205415
2022-03-14,959353.3520483242
2022-03-15,943953.3037653088
2022-03-16,943367.392375547
2022-03-17,951927.7749034448
2022-03-18,951349.4522350731
2022-03-21,956657.7581474396
2022-03-22,946942.2437709968
2022-03-23,940044.4937722263
2022-03-24,949595.739531818
2022-03-25,948196.7412896224
2022-03-28,942247.9399216535
2022-03-29,942082.2364229804
2022-03-30,948727.1933601316
2022-03-31,953725.2186995066
2022-04-01,951402.7299007209
2022-04-04,951651.3998723303
2022-04-05,953028.2397051573
2022-04-06,940017.7831515745
2022-04-07,934188.601494419
2022-04-08,935003.1674227052
2022-04-11,931856.9868238512
2022-04-12,920022.7691617388
2022-04-13,919291.898948234
2022-04-14,924068.534819168
2022-04-18,912427.4935686293
2022-04-19,909872.4987622249
2022-04-20,906190.2889922423
2022-04-21,916746.3428806355
2022-04-22,909778.5672538839
2022-04-25,900818.2804374952
2022-04-26,903423.2777413306
2022-04-27,903965.6201484987
2022-04-28,896707.5834812092
2022-04-29,902638.7843575358
2022-05-02,887138.4397197175
2022-05-03,880843.7191721252
2022-05-04,884848.0473369703
2022-05-05,898573.6292168117
2022-05-06,877395.8696379458
2022-05-09,870124.4537340548
2022-05-10,864202.3657251516
2022-05-11,866568.2005902187
2022-05-12,873217.9913647624
2022-05-13,871307.9940370694
2022-05-16,868753.3621597687
2022-05-17,869400.682413839
2022-05-18,866281.2168395143
2022-05-19,870365.9575724341
2022-05-20,873206.9124674957
2022-05-23,877310.3249309805
2022-05-24,877583.0243058238
2022-05-25,883489.6748628733
2022-05-26,886398.1467408866
2022-05-27,893548.5067639484
2022-05-31,904177.1669513498
2022-06-01,894736.8956556965
2022-06-02,890888.3347738677
2022-06-03,900433.3206757151
2022-06-06,891314.8705529065
2022-06-07,884040.6107780564
2022-06-08,889912.4149675705
2022-06-09,882508.2754518879
2022-06-10,879219.6275548529
2022-06-13,873421.35803748
2022-06-14,849768.7788012081
2022-06-15,842457.8121049391
2022-06-16,855348.7246108307
2022-06-17,857609.5026341946
2022-06-21,854532.9160112741
2022-06-22,849173.6464993997
2022-06-23,859090.3727683155
2022-06-24,861957.2092493988
2022-06-27,865617.2058872755
2022-06-28,861356.9379705752
2022-06-29,855329.9164043989
2022-06-30,859499.8276578877
2022-07-01,858359.9220145604
2022-07-05,864353.3382874647
2022-07-06,862558.5644188018
2022-07-07,858720.5493365661
2022-07-08,863261.85310639
2022-07-11,861306.1064055741
2022-07-12,856671.0482371963
2022-07-13,853848.8747492542
2022-07-14,854944.3996750277
2022-07-15,846817.5923771595
2022-07-18,850315.8010685325
2022-07-19,846473.6673725062
2022-07-20,848445.5082323686
2022-07-21,846982.3667311574
2022-07-22,858498.7341497022
2022-07-25,864811.9118545831
2022-07-26,860389.7355047072
2022-07-27,858665.2812742922
2022-07-28,863468.9183643778
2022-07-29,873142.8357633363
2022-08-01,875759.9883764258
2022-08-02,886461.5326653857
2022-08-03,875919.7530192839
2022-08-04,882386.6538978543
2022-08-05,889303.3703417561
2022-08-08,877412.1826604961
2022-08-09,883951.8688754945
2022-08-10,883019.9769322294
2022-08-11,884745.8553641745
2022-08-12,876147.3927128864
2022-08-15,884033.38588161
2022-08-16,880224.6063422554
2022-08-17,880386.4749636813
2022-08-18,873425.9330980291
2022-08-19,872676.0249213552
2022-08-22,862778.9430525539
