date,portfolio_value
2022-01-03,1000491.1695556951
2022-01-04,988733.4706442001
2022-01-05,986419.4077127826
2022-01-06,980023.4082555267
2022-01-07,979259.0957205722
2022-01-10,976554.2136304432
2022-01-11,978461.8621368584
2022-01-12,985200.6169939997
2022-01-13,985313.4443493587
2022-01-14,987114.0623905966
2022-01-18,979508.9247314597
2022-01-19,969663.2313041633
2022-01-20,975115.730153171
2022-01-21,973777.6657033345
2022-01-24,970930.9809697827
2022-01-25,970805.2673609323
2022-01-26,967763.5030025411
2022-01-27,958252.5498459366
2022-01-28,957714.400673159
2022-01-31,964600.2528785387
2022-02-01,970086.6763495848
2022-02-02,971751.2153411923
2022-02-03,976857.2899706566
2022-02-04,966546.4624590236
2022-02-07,965263.1667985127
2022-02-08,966351.6225707215
2022-02-09,966947.8594304968
2022-02-10,972471.9553907486
2022-02-11,961059.6167693535
2022-02-14,966198.6052199126
2022-02-15,962840.6528244669
2022-02-16,961907.1123400572
2022-02-17,966757.2781480051
2022-02-18,971162.2219396298
2022-02-22,973374.1428425009
2022-02-23,973471.6050503864
2022-02-24,967432.0904787043
2022-02-25,968241.7814122778
2022-02-28,972127.3694078282
2022-03-01,983184.9530823365
2022-03-02,991458.3083230709
2022-03-03,980264.9376829204
2022-03-04,984787.1894069628
2022-03-07,995866.6043829682
2022-03-08,995109.2393433372
2022-03-09,1004194.4759064063
2022-03-10,992847.901896041
2022-03-11,990537.4768173788
2022-03-14,985167.1414026687
2022-03-15,969107.4269627465
2022-03-16,964629.7747448239
2022-03-17,972779.1670242685
2022-03-18,973421.0512362525
2022-03-21,975626.1682700545
2022-03-22,969655.4228115022
2022-03-23,963710.473237804
2022-03-24,972037.1461393198
2022-03-25,974712.6754372638
2022-03-28,970930.6084959361
2022-03-29,970488.5269083444
2022-03-30,977905.3438709221
2022-03-31,981235.4569060531
2022-04-01,976533.3399732566
2022-04-04,977134.598783099
2022-04-05,978178.0391348286
2022-04-06,964041.0465962185
2022-04-07,958016.6008002684
2022-04-08,957534.9211823924
2022-04-11,953424.195133266
2022-04-12,941890.8758649508
2022-04-13,941210.3043190402
2022-04-14,946085.0165632815
2022-04-18,934427.003672357
2022-04-19,932265.4557326036
2022-04-20,931335.6360740962
2022-04-21,939706.4242680671
2022-04-22,930975.8059510204
2022-04-25,918037.1987842076
2022-04-26,921639.7936754255
2022-04-27,916093.555005824
2022-04-28,910956.3394108679
2022-04-29,918026.4380414281
2022-05-02,902325.3536037734
2022-05-03,896965.3039597207
2022-05-04,900523.8701650839
2022-05-05,917024.0286022014
2022-05-06,895354.5980601736
2022-05-09,890198.5972283923
2022-05-10,876284.7459295685
2022-05-11,877103.3910001303
2022-05-12,875353.4432729222
2022-05-13,874077.7165338419
2022-05-16,879274.7368448399
2022-05-17,879577.4957832559
2022-05-18,883212.4184182505
2022-05-19,877659.0419685689
2022-05-20,879419.1998292464
2022-05-23,882228.1640198973
2022-05-24,884233.93694269
2022-05-25,889339.1751476715
2022-05-26,890752.69538629
2022-05-27,894575.0891811734
2022-05-31,900949.4506723403
2022-06-01,888493.3093379295
2022-06-02,887851.0459669934
2022-06-03,894597.5752771174
2022-06-06,887594.1856021937
2022-06-07,879683.9216347605
2022-06-08,885663.8095910611
2022-06-09,879745.5232917801
2022-06-10,876876.2988000251
2022-06-13,874644.5276877498
2022-06-14,851262.9304802752
2022-06-15,843903.1429697763
2022-06-16,856488.4114222022
2022-06-17,859987.0532132568
2022-06-21,856077.2324105237
2022-06-22,851125.9979297161
2022-06-23,860436.467067778
2022-06-24,863354.7391796195
2022-06-27,867140.0037809417
2022-06-28,863458.981510598
2022-06-29,858417.6075906092
2022-06-30,860303.279376709
2022-07-01,857433.2679336398
2022-07-05,862048.3470811812
2022-07-06,856452.2021320071
2022-07-07,850529.8718681332
2022-07-08,853350.6780128295
2022-07-11,850185.9812616946
2022-07-12,849509.3318959437
2022-07-13,848648.5753044722
2022-07-14,851717.3189325716
2022-07-15,843503.8582634687
2022-07-18,847047.1005292602
2022-07-19,843531.9211524237
2022-07-20,845569.9599702728
2022-07-21,844131.8441013665
2022-07-22,855607.8624592689
2022-07-25,861897.2478137831
2022-07-26,857487.9065837029
2022-07-27,855676.1782670588
2022-07-28,861029.3872428111
2022-07-29,871048.3973158214
2022-08-01,874960.9895341443
2022-08-02,882515.3485540086
2022-08-03,873991.2245358814
2022-08-04,878885.1239585835
2022-08-05,886637.1988401752
2022-08-08,875307.8121040224
2022-08-09,881349.826814016
2022-08-10,881166.719624891
2022-08-11,884609.1910064106
2022-08-12,878620.9853225851
2022-08-15,886296.9042365887
2022-08-16,881652.1559050237
2022-08-17,880929.9555033074
2022-08-18,873874.2359238222
2022-08-19,873073.6923529569
2022-08-22,863034.1435794098
2022-08-23,855924.7704561286
2022-08-24,856211.1320808816
2022-08-25,855514.153165635
