Date,portfolio_values,daily_return
2022-01-03,1000000,0
2022-01-04,990456.1877835792,-0.009543812
2022-01-05,989736.1291698924,-0.000726997
2022-01-06,982897.7268083204,-0.006909319
2022-01-07,980719.8880392195,-0.002215733
2022-01-10,979861.1326,-0.000875638
2022-01-11,981567.2388483818,0.001741171
2022-01-12,988397.5489495086,0.006958576
2022-01-13,990197.9347502892,0.00182152
2022-01-14,989020.9569505148,-0.001188629
2022-01-18,984523.8515087296,-0.004547027
2022-01-19,975515.5647155351,-0.009149892
2022-01-20,979140.2580011016,0.003715669
2022-01-21,977507.7787073316,-0.001667258
2022-01-24,976072.4106,-0.001468396
2022-01-25,975764.7851727126,-0.000315167
2022-01-26,973350.4217885814,-0.002474329
2022-01-27,964238.8434,-0.009361046
2022-01-28,962746.0600915628,-0.001548147
2022-01-31,968296.8115547162,0.005765541
2022-02-01,973047.6335,0.004906369
2022-02-02,975012.6055,0.0020194
2022-02-03,979715.9377796568,0.004823868
2022-02-04,970563.2896437912,-0.009342145
2022-02-07,968025.4349787936,-0.002614827
2022-02-08,969404.9790613224,0.001425111
2022-02-09,969686.8381309088,0.000290755
2022-02-10,974515.1154529642,0.004979213
2022-02-11,964051.2539006372,-0.010737506
2022-02-14,969046.3277,0.005181336
2022-02-15,965821.505,-0.003327831
2022-02-16,964769.7302433258,-0.001088995
2022-02-17,969247.5211,0.004641305
2022-02-18,970409.2689037742,0.001198608
2022-02-22,970679.1805758713,0.000278142
2022-02-23,969273.6677621778,-0.001447968
2022-02-24,962965.7772823313,-0.006507853
2022-02-25,964042.8014824296,0.001118445
2022-02-28,968763.7302441932,0.004897012
2022-03-01,977216.4298262496,0.008725244
2022-03-02,981087.0454497084,0.003960858
2022-03-03,973161.3081600188,-0.008078526
2022-03-04,975936.3294109112,0.002851553
2022-03-07,983495.0314662752,0.007745077
2022-03-08,977031.9347,-0.00657156
2022-03-09,978474.7027069568,0.001476685
2022-03-10,975156.9408594726,-0.003390749
2022-03-11,970742.2876,-0.004527121
2022-03-14,964419.8958961756,-0.006512946
2022-03-15,951404.7230530278,-0.013495338
2022-03-16,951591.0155,0.000195808
2022-03-17,959968.6118318092,0.008803778
2022-03-18,962203.9402245298,0.002328543
2022-03-21,964839.7161866516,0.002739311
2022-03-22,960291.2121357792,-0.004714259
2022-03-23,955591.8883722397,-0.004893644
2022-03-24,960459.8796,0.005094216
2022-03-25,961553.9674506572,0.001139129
2022-03-28,958628.0743898508,-0.00304288
2022-03-29,954801.6413826884,-0.003991572
2022-03-30,961461.5084326692,0.006975132
2022-03-31,965927.9643543996,0.004645486
2022-04-01,962891.2911218952,-0.003143789
2022-04-04,961393.2088807632,-0.001555817
2022-04-05,962506.5636621217,0.001158064
2022-04-06,950883.2898,-0.012076046
2022-04-07,946919.5541,-0.004168478
2022-04-08,946943.9140213436,2.572541326184563e-05
2022-04-11,944353.6367,-0.002735407
2022-04-12,935872.9612317235,-0.008980402
2022-04-13,936604.3938986604,0.000781551
2022-04-14,940225.9558564832,0.003866693
2022-04-18,931337.9273,-0.009453077
2022-04-19,929058.1439612455,-0.002447858
2022-04-20,924064.0938170018,-0.00537539
2022-04-21,931834.0658802906,0.008408477
2022-04-22,924655.1856,-0.007704033
2022-04-25,914166.7105,-0.01134312
2022-04-26,914642.3406,0.000520288
2022-04-27,911826.8916907548,-0.003078197
2022-04-28,906240.7428233316,-0.006126326
2022-04-29,908902.3185831772,0.002936941
2022-05-02,899500.5765,-0.010344062
2022-05-03,892007.9190340585,-0.008329797
2022-05-04,895279.4870403298,0.003667645
2022-05-05,907299.7866640632,0.013426309658306712
2022-05-06,890501.3957000952,-0.018514708
2022-05-09,885456.9658083204,-0.005664707
2022-05-10,877667.0156785308,-0.008797661
2022-05-11,877975.4692486929,0.000351447
2022-05-12,881306.0009926255,0.003793422
2022-05-13,879884.6925200965,-0.00161273
2022-05-16,878540.1063590592,-0.001528139
2022-05-17,879850.2258922054,0.001491246
2022-05-18,879850.5092,3.220315165641807e-07
2022-05-19,877826.1046197886,-0.002300851
2022-05-20,881074.4719743624,0.003700468
2022-05-23,883644.1953461374,0.002916579
2022-05-24,885139.6876358383,0.001692415
2022-05-25,891203.5354,0.006850724
2022-05-26,892045.4259213291,0.000944667
2022-05-27,895473.9781230746,0.003843473
2022-05-31,901541.7858270954,0.006776085
2022-06-01,890310.9746036325,-0.012457339
2022-06-02,887286.4785524156,-0.003397123
2022-06-03,894910.6934380018,0.008592732
2022-06-06,886625.3466943287,-0.009258294
2022-06-07,880562.4411101678,-0.006838182
2022-06-08,885183.9066046381,0.005248311
2022-06-09,877915.2627967094,-0.00821145
2022-06-10,872538.7522354826,-0.006124179
2022-06-13,867943.2211658082,-0.00526685
2022-06-14,847133.6170829325,-0.023975767
2022-06-15,840852.6189134424,-0.007414413
2022-06-16,852851.8318813337,0.014270292674353424
2022-06-17,852595.0593768507,-0.000301075
2022-06-21,847240.0495,-0.006280836
