Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2021-12-31,100000.0,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-03,100147.61334283439,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-04,99191.81065239997,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-05,99119.72313254433,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-06,98434.85184731982,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-07,98216.75729810094,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-10,98130.74261144214,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-11,98301.60658237367,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-12,98985.65545752076,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-13,99165.95185200765,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-14,99048.07714973908,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-18,98597.69844398912,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-19,97695.54439903029,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-20,98058.56253908071,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-21,97895.07400149372,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-24,97751.31238962349,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-25,97720.51613155355,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-26,97478.70931305832,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-27,96566.20650988625,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-28,96416.71042532785,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-01-31,96972.61926191743,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-01,97448.40723101275,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-02,97645.17726856092,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-03,98116.21754013281,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-04,97199.58637784536,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-07,96945.42803031192,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-08,97083.58731095553,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-09,97111.80996397599,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-10,97595.36289552359,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-11,96547.43204176745,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-14,97047.68171468875,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-15,96724.70892142614,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-16,96619.39039882956,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-17,97067.82415422762,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-18,97184.17057961399,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-22,97211.2013491462,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-23,97070.4238151142,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-24,96438.718914331,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-25,96546.58837262183,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-02-28,97019.36500089346,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-01,97865.88168785498,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-02,98253.52763732572,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-03,97459.76667765927,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-04,97737.6901180428,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-07,98494.67096889768,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-08,97847.40022792919,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-09,97991.904754752,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-10,97659.63106859523,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-11,97217.52005699751,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-14,96584.34679354088,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-15,95280.90616386058,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-16,95299.56581771564,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-17,96138.56979168601,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-18,96362.40876507,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-21,96626.38548857301,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-22,96170.87489943017,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-23,95700.25401019231,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-24,96187.76517724941,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-25,96297.32186838135,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-28,96004.30550144597,-0.51%,9.97%,-0.35,-0.22874370712909076
2022-03-29,95621.08932248806,-0.51%,9.97%,-0.35,-0.22874370712909076
