timestamp,model_name,learning_rate,n_steps,batch_size,gamma,gae_lambda,ent_coef,vf_coef,buffer_size,tau,total_timesteps,annualized_return,sharpe_ratio,max_drawdown,annualized_volatility,sortino_ratio
2026-01-05T06:16:59.242639,A2C,0.001,512,,0.99,0.99,0.0001,0.5,,,800000,-0.02686157012589252,-0.5690221601383142,-0.23463402324295315,0.09992856888397982,
2026-01-05T06:19:05.792765,A2C,0.001,512,,0.99,0.99,0.0001,0.5,,,800000,-0.02686157012589252,-0.5690221601383142,-0.23463402324295315,0.09992856888397982,
2026-01-05T06:48:51.639838,PPO,0.0005,2048,512,0.99,0.99,0,0.5,,,600000,-0.06668621482001802,-0.9303060848166625,-0.28183739449819817,0.10392946622408923,
2026-01-05T10:10:46.333540,DDPG,0.0001,,256,0.99,,,,30000,0.005,120000,0.05889529867272758,0.22109406839240514,-0.22842099439113087,0.13069232875774506,
2026-01-05T13:53:13.919015,SAC,0.0003,,256,0.99,,auto,,30000,0.005,120000,0.005881786093024699,-0.17887183474121454,-0.2307589091638279,0.1348351681072019,
2026-01-05T21:54:36.043960,A2C,0.002,256,,0.99,0.95,0.01,0.5,,,600000,-0.05375905831534589,-0.5475279002526368,-0.31231508403281044,0.1529767857979444,
2026-01-06T03:23:30.536904,A2C,0.002,256,,0.99,0.95,0.01,0.5,,,600000,0.00963590324793899,0.0,0.0,0.0,0.0
2026-01-06T03:24:17.964262,DDPG,0.00015,,256,0.99,,,,50000,0.001,150000,0.008788321278433259,0.0,0.0,0.0,0.0
2026-01-06T03:24:32.043354,SAC,0.0003,,256,0.99,,auto,,30000,0.005,150000,0.00864792940192582,0.0,0.0,0.0,0.0
2026-01-06T03:54:43.486458,PPO,0.0002,1024,256,0.99,0.98,0.001,0.5,,,600000,0.00963590324793899,0.0,0.0,0.0,0.0
2026-01-06T03:57:01.069687,A2C,0.002,256,,0.99,0.95,0.01,0.5,,,600000,0.00963590324793899,0.0,0.0,0.0,0.0
2026-01-06T03:57:14.948234,PPO,0.0002,1024,256,0.99,0.98,0.001,0.5,,,600000,0.00963590324793899,0.0,0.0,0.0,0.0
2026-01-06T03:57:32.384779,DDPG,0.00015,,256,0.99,,,,50000,0.001,150000,0.008413377394851923,0.0,0.0,0.0,0.0
2026-01-06T03:57:48.360820,SAC,0.0003,,256,0.99,,auto,,30000,0.005,150000,0.008492026449186427,0.0,0.0,0.0,0.0
2026-01-06T04:29:24.950600,A2C,0.002,256,,0.99,0.95,0.01,0.5,,,600000,0.00963590324793899,0.0,0.0,0.0,0.0
2026-01-06T04:55:54.431898,PPO,0.0002,1024,256,0.99,0.98,0.001,0.5,,,600000,0.009172503648616487,0.0,0.0,0.0,0.0
2026-01-06T08:11:07.742684,DDPG,0.0001,,256,0.99,,,,30000,0.005,120000,0.005872599453887517,0.0,0.0,0.0,0.0
2026-01-06T15:42:47.020416,SAC,0.0005,,512,0.99,,0.01,,50000,0.01,150000,0.00982176834688175,0.0,0.0,0.0,0.0
2026-01-06T15:42:48.284319,DDPG,0.0001,,256,0.99,,,,30000,0.005,120000,0.05889529867272758,0.22109406839240514,-0.22842099439113087,0.13069232875774506,0.0
2026-01-06T15:44:11.174411,DDPG,0.0001,,256,0.99,,,,30000,0.005,120000,0.005874351661924277,0.0,0.0,0.0,0.0
2026-01-06T16:08:43.974994,A2C,0.002,256,,0.99,0.95,0.01,0.5,,,600000,0.00811308276639075,0.0,0.0,0.0,0.0
2026-01-06T16:32:14.220262,PPO,0.0002,1024,256,0.99,0.98,0.001,0.5,,,600000,0.00649824995587617,0.0,0.0,0.0,0.0
2026-01-06T21:24:47.815451,DDPG,0.0001,,256,0.99,,,,30000,0.005,150000,0.008201191125204194,0.0,0.0,0.0,0.0
2026-01-07T05:26:56.467537,SAC,0.0005,,512,0.99,,0.01,,50000,0.01,150000,0.009747360226058736,0.0,0.0,0.0,0.0
2026-01-07T15:03:38.520693,A2C,0.005,128,,0.99,0.93,0.05,0.5,,,600000,0.005049966575558699,0.0,0.0,0.0,0.0
2026-01-07T15:28:05.304624,PPO,0.0001,512,128,0.99,0.96,0.01,0.5,,,600000,0.01065989632199027,0.0,0.0,0.0,0.0
2026-01-07T16:34:33.713067,DDPG,5e-05,,128,0.99,,,,50000,0.01,150000,0.009285379468863262,0.0,0.0,0.0,0.0
2026-01-07T17:52:55.192478,SAC,0.0003,,256,0.99,,0.02,,75000,0.015,150000,0.009899876726126937,0.0,0.0,0.0,0.0
2026-01-07T18:38:57.706463,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.013006028296655283,0.0,0.0,0.0,0.0
2026-01-07T19:12:03.732915,PPO,0.0005,256,64,0.99,0.94,0.005,0.75,,,600000,0.008913670030892608,0.0,0.0,0.0,0.0
2026-01-07T20:07:53.443429,DDPG,0.0003,,64,0.99,,,,100000,0.015,150000,0.012607192557190075,0.0,0.0,0.0,0.0
2026-01-07T21:33:40.737341,SAC,0.0001,,128,0.99,,0.01,,100000,0.01,150000,0.010468775285256571,0.0,0.0,0.0,0.0
2026-01-07T21:51:08.412748,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.013006028296655283,0.0,0.0,0.0,0.0
2026-01-07T21:51:14.098461,PPO,0.0005,256,64,0.99,0.94,0.005,0.75,,,600000,0.008912993608029867,0.0,0.0,0.0,0.0
2026-01-07T21:51:24.107936,DDPG,0.0003,,64,0.99,,,,100000,0.015,150000,0.012607416802788166,0.0,0.0,0.0,0.0
2026-01-07T21:51:36.026478,SAC,0.0001,,128,0.99,,0.01,,100000,0.01,150000,0.010468775285256571,0.0,0.0,0.0,0.0
2026-01-07T21:52:44.858036,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.013006028296655283,0.0,0.0,0.0,0.0
2026-01-07T21:53:25.662579,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.0,-0.24880656102537713,-0.24505736168338574,0.12057559847443146,-0.4565140969348352
2026-01-07T21:53:33.991215,PPO,0.0005,256,64,0.99,0.94,0.005,0.75,,,600000,0.0,-0.2450327632811306,-0.25494525321307027,0.12243260696358571,-0.4937170206320569
2026-01-07T21:53:42.648933,DDPG,0.0003,,64,0.99,,,,100000,0.015,150000,0.0,-0.2652256994936291,-0.2544658143087538,0.11311121078114308,-0.43826256160178445
2026-01-07T21:53:51.274574,SAC,0.0001,,128,0.99,,0.01,,100000,0.01,150000,0.0,-0.28829388690631336,-0.22687991507248015,0.10406047912403038,-0.48812692672327884
2026-01-07T21:58:59.608299,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.0,-0.24880656102537713,-0.24505736168338574,0.12057559847443146,-0.4565140969348352
2026-01-07T21:59:06.568609,PPO,0.0005,256,64,0.99,0.94,0.005,0.75,,,600000,0.0,-0.2450327632811306,-0.25494525321307027,0.12243260696358571,-0.4937170206320569
2026-01-07T21:59:14.608802,DDPG,0.0003,,64,0.99,,,,100000,0.015,150000,0.0,-0.2652256994936291,-0.2544658143087538,0.11311121078114308,-0.43826256160178445
2026-01-07T21:59:24.163047,SAC,0.0001,,128,0.99,,0.01,,100000,0.01,150000,0.0,-0.28829388690631336,-0.22687991507248015,0.10406047912403038,-0.48812692672327884
2026-01-07T22:06:50.581683,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.0,-0.24880656102537713,-0.24505736168338574,0.12057559847443146,-0.4565140969348352
2026-01-07T22:08:27.094665,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.0,-0.09982396564263166,-0.3467543541690363,0.3005290343543309,-0.4610104818418247
2026-01-07T22:32:31.624487,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.0,-0.09982396564263166,-0.3467543541690363,0.3005290343543309,-0.4610104818418247
2026-01-07T22:36:10.178146,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.0,-0.09982396564263166,-0.3467543541690363,0.3005290343543309,-0.4610104818418247
2026-01-07T22:41:54.764104,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,-0.12462881130525727,-1.507957732187984,-0.3463562952386499,0.10254187369091393,-2.3762007391720337
2026-01-07T22:42:26.373917,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,-0.12462881130525727,-1.507957732187984,-0.3463562952386499,0.10254187369091393,-2.3762007391720337
2026-01-07T22:55:41.657557,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,-0.12462881130525727,-1.507957732187984,-0.3463562952386499,0.10254187369091393,-2.3762007391720337
2026-01-07T22:58:54.438168,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,-0.12462881130525727,-1.507957732187984,-0.3463562952386499,0.10254187369091393,-2.3762007391720337
2026-01-07T23:17:14.743845,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.0056406369560797545,0.0,0.0,0.0,0.0
2026-01-07T23:17:26.877754,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.0056406369560797545,0.0,0.0,0.0,0.0
2026-01-07T23:17:38.446031,PPO,0.0005,256,64,0.99,0.94,0.005,0.75,,,600000,-0.0601531117546773,-0.8936821136197292,-0.2534116230447019,0.10087827694069568,-1.4734028513812374
2026-01-07T23:23:24.671935,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,0.0056406369560797545,0.0,0.0,0.0,0.0
2026-01-07T23:49:38.399941,PPO,0.0005,256,64,0.99,0.94,0.005,0.75,,,600000,-0.0601531117546773,-0.8936821136197292,-0.2534116230447019,0.10087827694069568,-1.4734028513812374
2026-01-07T23:52:34.419787,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,-0.12462881130525727,-1.507957732187984,-0.3463562952386499,0.10254187369091393,-2.3762007391720337
2026-01-07T23:53:19.686881,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,-0.12462881130525727,-1.507957732187984,-0.3463562952386499,0.10254187369091393,-2.3762007391720337
2026-01-07T23:53:44.552974,A2C,0.01,64,,0.99,0.9,0.01,0.75,,,600000,-0.12462881130525727,-1.507957732187984,-0.3463562952386499,0.10254187369091393,-2.3762007391720337
