date,portfolio_value
2019-01-03,1001767.0828474228
2019-01-04,993881.5479016266
2019-01-07,992949.8518176692
2019-01-08,991434.6440194171
2019-01-09,993493.5281643282
2019-01-10,988323.3048700234
2019-01-11,990516.0909503016
2019-01-14,989177.9380257321
2019-01-15,986710.5754153644
2019-01-16,987379.2122074404
2019-01-17,987326.3773576104
2019-01-18,982788.537731119
2019-01-22,986515.6677713722
2019-01-23,984644.141492068
2019-01-24,984791.9252820434
2019-01-25,993465.3961835179
2019-01-28,994808.486415477
2019-01-29,998272.1662733156
2019-01-30,1003726.0461206645
2019-01-31,1006353.1396138339
2019-02-01,1002060.1710677809
2019-02-04,998793.8560641361
2019-02-05,1001326.0091319663
2019-02-06,1000397.6393962611
2019-02-07,1001897.808551328
2019-02-08,1004005.8866601343
2019-02-11,999809.1633249738
2019-02-12,1000325.3282515397
2019-02-13,996856.0614505495
2019-02-14,1001181.3723843897
2019-02-15,1003633.5317568361
2019-02-19,1005930.4323737647
2019-02-20,1003590.2091231298
2019-02-21,1000250.2519690145
2019-02-22,1002836.8179008783
2019-02-25,999976.1744338706
2019-02-26,1003395.7122099979
2019-02-27,998457.158070908
2019-02-28,994329.2595829524
2019-03-01,989776.174779045
2019-03-04,990765.4685813632
2019-03-05,989437.3067513276
2019-03-06,989419.9028120398
2019-03-07,988786.5454947379
2019-03-08,991704.3231558589
2019-03-11,992709.8607182215
2019-03-12,994605.2948554446
2019-03-13,996792.9747559241
2019-03-14,991212.2435613142
2019-03-15,994567.1642452305
2019-03-18,995992.6618895931
2019-03-19,995592.9291777308
2019-03-20,1001010.3469941542
2019-03-21,1001948.6925221509
2019-03-22,1002641.2603181018
2019-03-25,1003619.0730234181
2019-03-26,1001884.5123892957
2019-03-27,1000861.4383642635
2019-03-28,997966.6570065912
2019-03-29,998713.3419314253
2019-04-01,995829.6765946869
2019-04-02,996852.685176201
2019-04-03,995418.0457268349
2019-04-04,996576.9949175802
2019-04-05,996867.3127057487
2019-04-08,998478.6060693718
2019-04-09,1000533.2246015678
2019-04-10,1002738.6146254068
2019-04-11,995970.9868179709
2019-04-12,995395.9723744639
2019-04-15,994858.5851933339
2019-04-16,991532.0453961593
2019-04-17,990017.3197223474
2019-04-18,991435.7871845698
2019-04-22,991101.4868616654
2019-04-23,992778.0610270743
2019-04-24,991560.4537664695
2019-04-25,993810.00533438
2019-04-26,995416.6460371144
2019-04-29,993448.225504174
2019-04-30,995306.0755895106
2019-05-01,992881.9560985584
2019-05-02,990829.5154289623
2019-05-03,995923.8638747989
2019-05-06,995793.8801828047
2019-05-07,996377.7434757452
2019-05-08,994967.0782291044
2019-05-09,997026.678636606
2019-05-10,996779.6577669481
2019-05-13,998056.8002284091
2019-05-14,997335.5768794831
2019-05-15,997909.4657302754
2019-05-16,995796.2547685722
2019-05-17,993563.5230986758
2019-05-20,992803.1654367546
2019-05-21,989256.560622414
2019-05-22,991081.9553249371
2019-05-23,995559.7941031426
2019-05-24,996723.6932625397
2019-05-28,994466.5394181894
2019-05-29,993842.1074427221
2019-05-30,999100.8342403654
2019-05-31,1008346.0087254727
2019-06-03,1013733.2244983586
2019-06-04,1010562.0073504709
2019-06-05,1008571.6848654331
2019-06-06,1011068.3168758441
2019-06-07,1018178.281302676
2019-06-10,1012448.6544832683
2019-06-11,1012284.1001670903
2019-06-12,1012615.5215806514
2019-06-13,1015847.1830486854
2019-06-14,1016244.8840436244
2019-06-17,1016690.1968165558
2019-06-18,1021902.6401228904
2019-06-19,1024341.7691031161
2019-06-20,1032224.3464958069
2019-06-21,1028079.8004420771
2019-06-24,1031803.7476273704
2019-06-25,1031332.2611596675
2019-06-26,1025828.5008702029
2019-06-27,1028795.4822576804
2019-06-28,1029910.0229711569
2019-07-01,1026783.190060046
2019-07-02,1032956.1958164447
2019-07-03,1036536.5895328249
2019-07-05,1029579.0604543148
2019-07-08,1026723.5805457978
2019-07-09,1026742.5170925055
2019-07-10,1029741.8884846756
2019-07-11,1026799.6709316489
2019-07-12,1031304.7880587025
2019-07-15,1031842.273931407
2019-07-16,1028186.8948447268
2019-07-17,1029769.0342861796
2019-07-18,1034984.7637507803
2019-07-19,1029770.3055629445
2019-07-22,1030601.4557515593
2019-07-23,1030483.8528985102
2019-07-24,1033511.218326435
2019-07-25,1028442.0561312124
2019-07-26,1031725.6148163524
2019-07-29,1031123.2338885452
2019-07-30,1031573.8471977691
2019-07-31,1027805.4483926914
2019-08-01,1035148.9027411515
2019-08-02,1036607.9769462524
2019-08-05,1026837.535480221
2019-08-06,1035213.8804765953
2019-08-07,1036836.8807203611
2019-08-08,1043933.7491804762
2019-08-09,1042202.6545204308
2019-08-12,1050822.7193279166
2019-08-13,1046909.216700621
2019-08-14,1052134.0210422103
2019-08-15,1057981.4694126085
2019-08-16,1055315.085452488
2019-08-19,1049918.8344449943
2019-08-20,1053490.416688578
2019-08-21,1050760.4845763077
2019-08-22,1051506.70112449
2019-08-23,1059041.8831758152
2019-08-26,1054260.4244645133
2019-08-27,1058568.372932102
2019-08-28,1056075.9412552477
2019-08-29,1054397.7804501997
2019-08-30,1055639.9819358452
2019-09-03,1058184.8400692006
2019-09-04,1057593.6663447383
2019-09-05,1050567.2214385513
2019-09-06,1051251.723017188
2019-09-09,1048186.4337853348
2019-09-10,1044804.4862405737
2019-09-11,1043576.0187423733
2019-09-12,1041630.5588207672
2019-09-13,1040363.8262500729
2019-09-16,1040925.4357765407
2019-09-17,1040722.0310419943
2019-09-18,1038746.0964212164
2019-09-19,1041972.3678912702
2019-09-20,1044852.6382413111
2019-09-23,1045955.6171082389
2019-09-24,1047964.0000763874
2019-09-25,1043312.8626522243
2019-09-26,1041125.8118903728
2019-09-27,1038833.6868448135
2019-09-30,1038921.59071802
2019-10-01,1036652.746065268
2019-10-02,1033246.0107730412
2019-10-03,1038688.000406081
2019-10-04,1044082.7961540478
2019-10-07,1038773.1132932444
2019-10-08,1037453.2264617303
2019-10-09,1036780.3335468115
2019-10-10,1032371.5450922498
2019-10-11,1029569.0362000004
2019-10-14,1029972.4500458684
2019-10-15,1026799.0771098594
2019-10-16,1027664.212245836
2019-10-17,1028581.4695115854
2019-10-18,1028349.0124853117
2019-10-21,1026710.3245280395
2019-10-22,1028261.4640423593
2019-10-23,1028128.6727910372
2019-10-24,1028680.7687380274
2019-10-25,1028268.1490862013
2019-10-28,1024762.7855623034
2019-10-29,1025167.1867455075
2019-10-30,1029115.1565705983
2019-10-31,1036279.3817597816
2019-11-01,1035692.9078414168
2019-11-04,1032355.1064455291
2019-11-05,1026259.519285555
2019-11-06,1028299.7533177012
2019-11-07,1026345.5987183785
2019-11-08,1026919.295526764
2019-11-11,1027064.8946960769
2019-11-12,1028546.2019139153
2019-11-13,1030169.9077803246
2019-11-14,1032856.3860431901
2019-11-15,1033450.9931270916
2019-11-18,1034630.8183358128
2019-11-19,1034956.0237718181
2019-11-20,1033232.1701377052
2019-11-21,1031763.7327551282
2019-11-22,1032875.9258986767
2019-11-25,1034405.3652792023
2019-11-26,1035113.4051877911
2019-11-27,1034461.09165077
2019-11-29,1033371.5532157979
2019-12-02,1031448.3855780733
2019-12-03,1031759.1742155197
2019-12-04,1031872.5689924813
2019-12-05,1032866.3186910719
2019-12-06,1036071.1840701436
2019-12-09,1035049.6389528272
2019-12-10,1033913.3709638974
2019-12-11,1036435.341776113
2019-12-12,1032176.6589321345
2019-12-13,1032554.8998693955
2019-12-16,1032555.1642880549
2019-12-17,1032694.8394153226
2019-12-18,1032112.4547734187
2019-12-19,1035012.3002838244
2019-12-20,1034397.7217711399
2019-12-23,1035725.6203237883
2019-12-24,1036265.0336694982
2019-12-26,1036617.157834766
2019-12-27,1038313.810571448
2019-12-30,1040694.6953083812
2019-12-31,1042078.3021649496
