date,portfolio_value
2019-01-03,1005752.7908861601
2019-01-04,1001426.7390111971
2019-01-07,1001672.5240988162
2019-01-08,1000205.6021453699
2019-01-09,1002568.6231295136
2019-01-10,999082.3020425162
2019-01-11,997977.7188416607
2019-01-14,998222.9553056809
2019-01-15,996291.7997438156
2019-01-16,994685.6693576998
2019-01-17,994157.4984585682
2019-01-18,992474.4029423533
2019-01-22,990726.6304014048
2019-01-23,990147.3243513013
2019-01-24,989826.0607209951
2019-01-25,990377.5322338039
2019-01-28,987899.9866075561
2019-01-29,989709.900287593
2019-01-30,996216.5868890417
2019-01-31,1001551.6667515035
2019-02-01,998670.1664821685
2019-02-04,998775.9426772634
2019-02-05,1002129.5876256849
2019-02-06,999420.3839045173
2019-02-07,995613.4159406797
2019-02-08,997930.113871905
2019-02-11,995009.9739704747
2019-02-12,999780.0519326708
2019-02-13,998887.6395005338
2019-02-14,1000686.2760539145
2019-02-15,1006617.7066608341
2019-02-19,1010013.6804132828
2019-02-20,1008269.2006306289
2019-02-21,1000808.8237244979
2019-02-22,1005974.0163560184
2019-02-25,1006254.795543999
2019-02-26,1006030.5422396255
2019-02-27,1002292.6960190776
2019-02-28,999652.8103492244
2019-03-01,1005894.5219316323
2019-03-04,1002235.7113774022
2019-03-05,1000877.5976115197
2019-03-06,995395.6486685615
2019-03-07,987635.6037114684
2019-03-08,986885.3195668836
2019-03-11,997538.6886752762
2019-03-12,1001164.4766586872
2019-03-13,1004979.1376430035
2019-03-14,1002608.8285995454
2019-03-15,1007600.4458877547
2019-03-18,1010556.2150679067
2019-03-19,1010449.6416177558
2019-03-20,1007056.76537875
2019-03-21,1014558.2545882321
2019-03-22,1008849.7437797372
2019-03-25,1008882.8897598108
2019-03-26,1010919.4529157697
2019-03-27,1014319.3312797135
2019-03-28,1017839.3428493958
2019-03-29,1019521.0367379945
2019-04-01,1013893.0117337344
2019-04-02,1014920.141270968
2019-04-03,1010556.5199744091
2019-04-04,1013147.941965595
2019-04-05,1016233.7442884616
2019-04-08,1014962.4854230102
2019-04-09,1013490.0978438978
2019-04-10,1015979.2811398113
2019-04-11,1012578.3583840668
2019-04-12,1012519.8391525977
2019-04-15,1012825.8869851684
2019-04-16,1009898.8957335431
2019-04-17,1008424.4316065707
2019-04-18,1011492.3174504605
2019-04-22,1009877.8270485601
2019-04-23,1016889.3224888864
2019-04-24,1016282.7344847955
2019-04-25,1015279.2873144953
2019-04-26,1019149.7457321581
2019-04-29,1019651.5440330831
2019-04-30,1020412.7523178612
2019-05-01,1013283.736854534
2019-05-02,1010815.3447918183
2019-05-03,1019601.1540550047
2019-05-06,1016221.0064735076
2019-05-07,1010759.4637627471
2019-05-08,1009859.6853136729
2019-05-09,1011541.1772410889
2019-05-10,1009608.3960140948
2019-05-13,1010708.8618010113
2019-05-14,1009361.9543453108
2019-05-15,1010162.0530681595
2019-05-16,1008451.9062256777
2019-05-17,1006995.977403058
2019-05-20,1005343.5254326767
2019-05-21,1002685.7471349766
2019-05-22,1005642.6877852929
2019-05-23,1010383.277355053
2019-05-24,1011170.3399169592
2019-05-28,1011361.9066484467
2019-05-29,1011073.3797532533
2019-05-30,1018641.8813139393
2019-05-31,1027538.3785970082
2019-06-03,1032383.9949278481
2019-06-04,1027624.6630142005
2019-06-05,1025333.0030133345
2019-06-06,1029104.2828492472
2019-06-07,1038017.7302458124
2019-06-10,1032032.6625528695
2019-06-11,1032065.8663388703
2019-06-12,1031546.305161533
2019-06-13,1035263.4689719754
2019-06-14,1036504.1330333431
2019-06-17,1037712.8614341011
2019-06-18,1044202.7512944973
2019-06-19,1046007.893611722
2019-06-20,1055170.6282916002
2019-06-21,1051848.5538424277
2019-06-24,1061136.4640562297
2019-06-25,1059977.5023335596
2019-06-26,1052201.760865385
2019-06-27,1052395.8574235793
2019-06-28,1056030.4377579521
2019-07-01,1050864.2476219554
2019-07-02,1055890.4726173333
2019-07-03,1062529.633374565
2019-07-05,1058983.301305545
2019-07-08,1052817.8523761248
2019-07-09,1054509.403689911
2019-07-10,1062465.158787898
2019-07-11,1060891.2321409406
2019-07-12,1065529.4721126172
2019-07-15,1065812.2880597215
2019-07-16,1061339.022783888
2019-07-17,1057621.9924959347
2019-07-18,1065069.0407988846
2019-07-19,1054893.6431695656
2019-07-22,1056292.933393928
2019-07-23,1060033.2760463175
2019-07-24,1064254.1727378215
2019-07-25,1059170.287922112
2019-07-26,1066266.6452019354
2019-07-29,1064324.8003841673
2019-07-30,1061789.0229262898
2019-07-31,1048547.0659067373
2019-08-01,1038438.4194544414
2019-08-02,1033022.4815384205
2019-08-05,1044442.1906953308
2019-08-06,1052787.1960933057
2019-08-07,1053878.2552207513
2019-08-08,1059561.398968307
2019-08-09,1056249.9092966812
2019-08-12,1071753.7671082183
