date,portfolio_value
2019-01-03,1005631.5989117004
2019-01-04,1002225.0032457279
2019-01-07,1003081.1177507483
2019-01-08,1002727.8426009341
2019-01-09,1005184.1791639711
2019-01-10,1001204.7784763881
2019-01-11,1002411.7012154214
2019-01-14,1000868.8538983943
2019-01-15,999810.6972876101
2019-01-16,1000132.1263910545
2019-01-17,1000913.321203619
2019-01-18,998756.2075949452
2019-01-22,999352.1942492629
2019-01-23,998984.0322654292
2019-01-24,1000702.7385596274
2019-01-25,1003607.4019617173
2019-01-28,1001531.0094924789
2019-01-29,1003871.9159218312
2019-01-30,1009526.5001339021
2019-01-31,1015022.8378127444
2019-02-01,1010640.2115881257
2019-02-04,1008586.3993333213
2019-02-05,1010386.86825493
2019-02-06,1010164.8659495602
2019-02-07,1009993.1647117772
2019-02-08,1010594.9784800056
2019-02-11,1006369.49839067
2019-02-12,1008012.1866691237
2019-02-13,1004535.5867333006
2019-02-14,1008295.9796188775
2019-02-15,1010598.2495262696
2019-02-19,1010187.4057345709
2019-02-20,1008700.5087563855
2019-02-21,1007878.916723516
2019-02-22,1009803.2054525631
2019-02-25,1006647.0745730422
2019-02-26,1010182.6786850382
2019-02-27,1006236.3420430857
2019-02-28,1001994.0538337207
2019-03-01,1000425.9018486316
2019-03-04,1000723.994260696
2019-03-05,998916.0439284272
2019-03-06,998298.3195952644
2019-03-07,996611.2993462635
2019-03-08,999138.6951783586
2019-03-11,1003067.0502605162
2019-03-12,1004192.4854798152
2019-03-13,1006809.725755031
2019-03-14,1002168.3399606013
2019-03-15,1005326.8766988439
2019-03-18,1007014.4527182849
2019-03-19,1006651.0911886062
2019-03-20,1011342.1696736811
2019-03-21,1013631.4089033286
2019-03-22,1013175.3898123348
2019-03-25,1012273.2392383756
2019-03-26,1010703.6686244917
2019-03-27,1009836.2296847258
2019-03-28,1010268.0523409104
2019-03-29,1011105.8382290596
2019-04-01,1009266.2250089505
2019-04-02,1009092.5543249786
2019-04-03,1008773.2545994129
2019-04-04,1008937.7346932886
2019-04-05,1009644.5696581571
2019-04-08,1011115.8918356652
2019-04-09,1011524.9571519569
2019-04-10,1013357.3583101579
2019-04-11,1009157.4844191677
2019-04-12,1009251.4609736856
2019-04-15,1008964.5200033202
2019-04-16,1008940.2320126082
2019-04-17,1007516.3429182759
2019-04-18,1008973.223427817
2019-04-22,1008915.1466700815
2019-04-23,1012795.172614326
2019-04-24,1009901.754352844
2019-04-25,1012592.6333340524
2019-04-26,1014450.9423918913
2019-04-29,1014036.7912442625
2019-04-30,1015814.5544445401
2019-05-01,1013490.4130987871
2019-05-02,1011644.4042439568
2019-05-03,1017102.0768898054
2019-05-06,1017325.6265766133
2019-05-07,1018275.6823902366
2019-05-08,1018342.3153940196
2019-05-09,1019973.6295123821
2019-05-10,1020021.4259715982
2019-05-13,1018831.9258036017
2019-05-14,1018790.075262045
2019-05-15,1020503.741310501
2019-05-16,1020104.0920286133
2019-05-17,1018213.2072976764
2019-05-20,1016433.6812063041
2019-05-21,1014343.475266099
2019-05-22,1016103.5633122216
2019-05-23,1019051.3693127756
2019-05-24,1021707.1115863638
2019-05-28,1019436.312893538
2019-05-29,1016275.2808501774
2019-05-30,1019425.3961854661
2019-05-31,1025557.075964807
2019-06-03,1027897.5846922938
2019-06-04,1030848.4688098213
2019-06-05,1030200.9226998363
2019-06-06,1032013.5192391898
2019-06-07,1038488.7404785651
2019-06-10,1036079.5615395781
2019-06-11,1035601.9193069658
2019-06-12,1034831.4314875477
2019-06-13,1037236.9289192224
2019-06-14,1036755.9085265764
2019-06-17,1036638.6674660813
2019-06-18,1041374.6966436709
2019-06-19,1043647.6449240233
2019-06-20,1050865.0403411766
2019-06-21,1046986.85094319
2019-06-24,1047323.391521668
2019-06-25,1046316.9527782173
2019-06-26,1041052.7913998087
2019-06-27,1042471.0773637266
2019-06-28,1043559.1168242301
2019-07-01,1038567.37586372
2019-07-02,1043141.5111259236
2019-07-03,1045424.9420478551
2019-07-05,1040199.5482033398
2019-07-08,1036703.0687707295
2019-07-09,1036469.300128296
2019-07-10,1040774.4101822242
2019-07-11,1040376.6236564206
2019-07-12,1045934.3451195988
2019-07-15,1045516.0702736916
2019-07-16,1042017.9984702737
2019-07-17,1042141.1284797223
2019-07-18,1047734.1213429152
2019-07-19,1042659.8777363827
2019-07-22,1043036.3018457296
2019-07-23,1042902.0640959278
2019-07-24,1045421.4165747669
2019-07-25,1040429.17718443
2019-07-26,1043089.2374348843
2019-07-29,1042108.353852879
2019-07-30,1042477.6145197488
2019-07-31,1038505.1388101089
2019-08-01,1048151.7513635833
2019-08-02,1046575.7878178075
2019-08-05,1036589.0855004041
2019-08-06,1043566.2529588039
2019-08-07,1044782.373836439
2019-08-08,1052232.8997761505
2019-08-09,1051403.618243179
2019-08-12,1054393.921124788
2019-08-13,1049526.2166920707
2019-08-14,1049334.8773663687
2019-08-15,1052568.4581798878
2019-08-16,1054095.6835515688
2019-08-19,1052651.25190047
2019-08-20,1054441.8948850604
