Date,portfolio_values,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
2022-01-04,998418.0904419668,-8.25%,14.39%,-0.78,-40.19%
2022-01-05,984950.8276571138,-8.25%,14.39%,-0.78,-40.19%
2022-01-06,971185.6532767675,-8.25%,14.39%,-0.78,-40.19%
2022-01-07,975468.7852739597,-8.25%,14.39%,-0.78,-40.19%
2022-01-10,978182.8306717683,-8.25%,14.39%,-0.78,-40.19%
2022-01-11,989864.8328996119,-8.25%,14.39%,-0.78,-40.19%
2022-01-12,992033.7316653741,-8.25%,14.39%,-0.78,-40.19%
2022-01-13,986441.4076098646,-8.25%,14.39%,-0.78,-40.19%
2022-01-14,983003.4374442004,-8.25%,14.39%,-0.78,-40.19%
2022-01-18,981381.2310111299,-8.25%,14.39%,-0.78,-40.19%
2022-01-19,996966.0820464909,-8.25%,14.39%,-0.78,-40.19%
2022-01-20,994474.7895804811,-8.25%,14.39%,-0.78,-40.19%
2022-01-21,991230.3617647293,-8.25%,14.39%,-0.78,-40.19%
2022-01-24,989862.4418751827,-8.25%,14.39%,-0.78,-40.19%
2022-01-25,991513.3902813912,-8.25%,14.39%,-0.78,-40.19%
2022-01-26,982031.6689311801,-8.25%,14.39%,-0.78,-40.19%
2022-01-27,972304.0264588046,-8.25%,14.39%,-0.78,-40.19%
2022-01-28,971547.2261030885,-8.25%,14.39%,-0.78,-40.19%
2022-01-31,974481.1751658126,-8.25%,14.39%,-0.78,-40.19%
2022-02-01,976954.8022299769,-8.25%,14.39%,-0.78,-40.19%
2022-02-02,978214.5621376401,-8.25%,14.39%,-0.78,-40.19%
2022-02-03,973679.1930427445,-8.25%,14.39%,-0.78,-40.19%
2022-02-04,971769.5064392922,-8.25%,14.39%,-0.78,-40.19%
2022-02-07,973851.2759536927,-8.25%,14.39%,-0.78,-40.19%
2022-02-08,974964.2620191964,-8.25%,14.39%,-0.78,-40.19%
2022-02-09,978278.3395026486,-8.25%,14.39%,-0.78,-40.19%
2022-02-10,974564.2465633001,-8.25%,14.39%,-0.78,-40.19%
2022-02-11,993134.4496980619,-8.25%,14.39%,-0.78,-40.19%
2022-02-14,998448.4300863423,-8.25%,14.39%,-0.78,-40.19%
2022-02-15,988963.3207910135,-8.25%,14.39%,-0.78,-40.19%
2022-02-16,999134.07122522,-8.25%,14.39%,-0.78,-40.19%
2022-02-17,1012790.3094275973,-8.25%,14.39%,-0.78,-40.19%
2022-02-18,1012047.4656387679,-8.25%,14.39%,-0.78,-40.19%
2022-02-22,1013151.5387903712,-8.25%,14.39%,-0.78,-40.19%
2022-02-23,1017526.2533754571,-8.25%,14.39%,-0.78,-40.19%
2022-02-24,1010963.0600041023,-8.25%,14.39%,-0.78,-40.19%
2022-02-25,1010104.8750165987,-8.25%,14.39%,-0.78,-40.19%
2022-02-28,1017889.0552547383,-8.25%,14.39%,-0.78,-40.19%
2022-03-01,1031167.1746436558,-8.25%,14.39%,-0.78,-40.19%
2022-03-02,1025538.720000514,-8.25%,14.39%,-0.78,-40.19%
2022-03-03,1029313.170142422,-8.25%,14.39%,-0.78,-40.19%
2022-03-04,1040832.5074189663,-8.25%,14.39%,-0.78,-40.19%
2022-03-07,1043434.3987294076,-8.25%,14.39%,-0.78,-40.19%
2022-03-08,1062241.416359551,-8.25%,14.39%,-0.78,-40.19%
2022-03-09,1047150.2705947837,-8.25%,14.39%,-0.78,-40.19%
2022-03-10,1047696.0987918302,-8.25%,14.39%,-0.78,-40.19%
2022-03-11,1038393.9225234621,-8.25%,14.39%,-0.78,-40.19%
2022-03-14,1025383.509288165,-8.25%,14.39%,-0.78,-40.19%
2022-03-15,1011714.9679956838,-8.25%,14.39%,-0.78,-40.19%
2022-03-16,1017607.0173048484,-8.25%,14.39%,-0.78,-40.19%
2022-03-17,1023663.9286646906,-8.25%,14.39%,-0.78,-40.19%
2022-03-18,1019977.3194962075,-8.25%,14.39%,-0.78,-40.19%
2022-03-21,1023185.1660431419,-8.25%,14.39%,-0.78,-40.19%
2022-03-22,1024850.2233554142,-8.25%,14.39%,-0.78,-40.19%
2022-03-23,1023786.1134549378,-8.25%,14.39%,-0.78,-40.19%
2022-03-24,1035409.5521424905,-8.25%,14.39%,-0.78,-40.19%
2022-03-25,1035772.5558577386,-8.25%,14.39%,-0.78,-40.19%
2022-03-28,1029705.758852401,-8.25%,14.39%,-0.78,-40.19%
2022-03-29,1037216.1475181124,-8.25%,14.39%,-0.78,-40.19%
2022-03-30,1035535.0431383008,-8.25%,14.39%,-0.78,-40.19%
2022-03-31,1025684.7058678205,-8.25%,14.39%,-0.78,-40.19%
2022-04-01,1025164.8869606169,-8.25%,14.39%,-0.78,-40.19%
2022-04-04,1032709.560633477,-8.25%,14.39%,-0.78,-40.19%
2022-04-05,1021041.4413841825,-8.25%,14.39%,-0.78,-40.19%
2022-04-06,1010167.3760315451,-8.25%,14.39%,-0.78,-40.19%
2022-04-07,1015257.5477434869,-8.25%,14.39%,-0.78,-40.19%
2022-04-08,1012542.891363127,-8.25%,14.39%,-0.78,-40.19%
2022-04-11,995236.2325859558,-8.25%,14.39%,-0.78,-40.19%
2022-04-12,994220.3970353738,-8.25%,14.39%,-0.78,-40.19%
2022-04-13,1000503.3102383144,-8.25%,14.39%,-0.78,-40.19%
2022-04-14,993979.6127552895,-8.25%,14.39%,-0.78,-40.19%
2022-04-18,996055.4039552275,-8.25%,14.39%,-0.78,-40.19%
2022-04-19,980810.8114808874,-8.25%,14.39%,-0.78,-40.19%
2022-04-20,983473.3654970578,-8.25%,14.39%,-0.78,-40.19%
2022-04-21,979229.7269081265,-8.25%,14.39%,-0.78,-40.19%
2022-04-22,969709.5641947958,-8.25%,14.39%,-0.78,-40.19%
2022-04-25,952282.9202590911,-8.25%,14.39%,-0.78,-40.19%
2022-04-26,953735.1679440917,-8.25%,14.39%,-0.78,-40.19%
2022-04-27,946527.7681447658,-8.25%,14.39%,-0.78,-40.19%
2022-04-28,951637.4312484933,-8.25%,14.39%,-0.78,-40.19%
2022-04-29,951529.9181392901,-8.25%,14.39%,-0.78,-40.19%
2022-05-02,933888.0838430271,-8.25%,14.39%,-0.78,-40.19%
2022-05-03,936362.1984919128,-8.25%,14.39%,-0.78,-40.19%
2022-05-04,945559.657735483,-8.25%,14.39%,-0.78,-40.19%
2022-05-05,941955.9988713579,-8.25%,14.39%,-0.78,-40.19%
2022-05-06,943515.759665562,-8.25%,14.39%,-0.78,-40.19%
2022-05-09,929854.1263288624,-8.25%,14.39%,-0.78,-40.19%
2022-05-10,922001.319590014,-8.25%,14.39%,-0.78,-40.19%
2022-05-11,929531.4228591013,-8.25%,14.39%,-0.78,-40.19%
2022-05-12,915278.0570664053,-8.25%,14.39%,-0.78,-40.19%
2022-05-13,907855.5489775969,-8.25%,14.39%,-0.78,-40.19%
2022-05-16,916515.1143908483,-8.25%,14.39%,-0.78,-40.19%
2022-05-17,910760.0443475986,-8.25%,14.39%,-0.78,-40.19%
2022-05-18,911244.0995522403,-8.25%,14.39%,-0.78,-40.19%
2022-05-19,924636.8680448566,-8.25%,14.39%,-0.78,-40.19%
2022-05-20,921106.2263465235,-8.25%,14.39%,-0.78,-40.19%
2022-05-23,920980.4511935045,-8.25%,14.39%,-0.78,-40.19%
2022-05-24,928148.0999022783,-8.25%,14.39%,-0.78,-40.19%
2022-05-25,925381.6221658512,-8.25%,14.39%,-0.78,-40.19%
2022-05-26,927016.4113401027,-8.25%,14.39%,-0.78,-40.19%
2022-05-27,926639.1818193775,-8.25%,14.39%,-0.78,-40.19%
2022-05-31,914704.5495929786,-8.25%,14.39%,-0.78,-40.19%
2022-06-01,904738.3984148785,-8.25%,14.39%,-0.78,-40.19%
2022-06-02,907048.8279232868,-8.25%,14.39%,-0.78,-40.19%
2022-06-03,899479.6876401975,-8.25%,14.39%,-0.78,-40.19%
2022-06-06,880191.5478237728,-8.25%,14.39%,-0.78,-40.19%
2022-06-07,888512.0494688503,-8.25%,14.39%,-0.78,-40.19%
2022-06-08,878996.1839242949,-8.25%,14.39%,-0.78,-40.19%
2022-06-09,866025.4465344248,-8.25%,14.39%,-0.78,-40.19%
2022-06-10,839581.9748465968,-8.25%,14.39%,-0.78,-40.19%
2022-06-13,814749.1652243005,-8.25%,14.39%,-0.78,-40.19%
2022-06-14,808181.3340083025,-8.25%,14.39%,-0.78,-40.19%
2022-06-15,818728.8596130388,-8.25%,14.39%,-0.78,-40.19%
2022-06-16,827933.976858396,-8.25%,14.39%,-0.78,-40.19%
2022-06-17,821126.0278484684,-8.25%,14.39%,-0.78,-40.19%
2022-06-21,818057.6554333494,-8.25%,14.39%,-0.78,-40.19%
2022-06-22,821317.7691187646,-8.25%,14.39%,-0.78,-40.19%
2022-06-23,816283.7011932087,-8.25%,14.39%,-0.78,-40.19%
2022-06-24,815468.6727718549,-8.25%,14.39%,-0.78,-40.19%
2022-06-27,814557.7371374686,-8.25%,14.39%,-0.78,-40.19%
2022-06-28,813215.3287780896,-8.25%,14.39%,-0.78,-40.19%
2022-06-29,812592.1147828008,-8.25%,14.39%,-0.78,-40.19%
2022-06-30,807653.9540702774,-8.25%,14.39%,-0.78,-40.19%
2022-07-01,806982.7498905879,-8.25%,14.39%,-0.78,-40.19%
2022-07-05,789866.9335748517,-8.25%,14.39%,-0.78,-40.19%
2022-07-06,774234.7901376147,-8.25%,14.39%,-0.78,-40.19%
2022-07-07,767421.4949621892,-8.25%,14.39%,-0.78,-40.19%
2022-07-08,758921.4592807527,-8.25%,14.39%,-0.78,-40.19%
2022-07-11,772008.6378368752,-8.25%,14.39%,-0.78,-40.19%
2022-07-12,776596.0742210803,-8.25%,14.39%,-0.78,-40.19%
2022-07-13,785500.5660202315,-8.25%,14.39%,-0.78,-40.19%
2022-07-14,779755.4118322143,-8.25%,14.39%,-0.78,-40.19%
2022-07-15,787354.74445682,-8.25%,14.39%,-0.78,-40.19%
