date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,ppo_mean,ppo_sd
2019-01-03,1002103.26228637,1002227.843051274,1002526.3498500456,1002936.3467044744,1002698.076079582,1002498.3755943492,303.90258935826347
2019-01-04,1006022.6931027712,999781.6629841065,1007771.2983632984,1008059.436709955,1007105.5755569682,1005748.1333434198,3064.379902132251
2019-01-07,1004877.830847965,1005080.287224266,1003880.973899285,1005054.422859922,1007536.8263229596,1005286.0682308795,1208.5417023107675
2019-01-08,1005157.7130563576,1006402.854635928,1002883.1741991544,1006032.545883212,1008780.3095365558,1005851.3194622416,1908.2449039875617
2019-01-09,1006566.5427871587,1006235.7509412952,1002650.6707447072,1005782.917088481,1009494.0559916552,1006145.9875106595,2179.1533306913366
2019-01-10,1009277.5000274256,1009138.2343703774,1005098.956637984,1009518.3704557416,1012829.872728622,1009172.5868440301,2453.648559670722
2019-01-11,1005775.529283576,1004824.000076924,1000831.157915484,1006633.4442417624,1010279.3852235812,1005668.7033482656,3043.5470608566193
2019-01-14,1005679.4745236085,1005818.4155482578,1001979.6994435564,1006818.8622146482,1010692.5676879332,1006197.8038836007,2785.4486535869637
2019-01-15,1004645.471512285,1004018.3479936486,1000437.6833017828,1007420.3528949989,1010082.4687902076,1005320.8648985846,3258.1863203031276
2019-01-16,1003839.6752014696,1002476.3519403846,998102.6074511888,1006015.5698236752,1010665.7250825884,1004219.9858998613,4132.284838571417
2019-01-17,1003913.4250335968,1001664.3187840042,997886.154430984,1006057.2238170924,1010756.4843554794,1004055.5212842313,4306.015495182878
2019-01-18,1003085.1279082142,1000980.5881927144,996972.6112235888,1006166.32615173,1009896.3054751196,1003420.1917902734,4407.188016692673
2019-01-22,1000473.768916418,997528.965392024,993883.9167855952,1001833.9802983224,1006792.853036225,1000102.6968857169,4317.187643830369
2019-01-23,1000447.8336791536,998646.8306791912,993346.4944319156,1001001.1457806786,1008163.6553606264,1000321.1919863131,4763.034722115493
2019-01-24,999507.734277658,997635.009721368,992295.6255944188,1000031.0923101949,1007153.05335456,999324.5030516399,4776.579276626908
2019-01-25,999609.411631311,998253.246969536,992985.9395112736,999649.2965594624,1006641.348390026,999427.8486123219,4358.771965852274
2019-01-28,1004375.2648186588,1001839.751972178,996187.8165007052,1003174.1626808384,1009333.795628182,1002982.1583201124,4237.666360317625
2019-01-29,1003257.9220982312,1001649.283971036,995275.5769249194,1002806.0363120364,1008884.333006434,1002374.6304625313,4342.009465521305
2019-01-30,1004966.3850608604,1002130.7024555622,996977.5759210832,1002928.2381341564,1010565.8554861692,1003513.7514115663,4400.444446944235
2019-01-31,1009873.9447090168,1005243.8751439132,999876.6280674748,1005901.3358623435,1016079.004024178,1007394.9575613852,5384.076150495559
2019-02-01,1013133.1318832306,1008094.1858730764,1003834.214119783,1008326.4494924776,1017730.0498429278,1010223.6062422991,4770.115334500467
2019-02-04,1008598.0488880296,1004039.5177978228,999959.084778348,1004696.5663467124,1014011.9288694283,1006261.0293360682,4746.267315073887
2019-02-05,1005851.965521636,1001919.2744052546,997328.2569836788,1003494.5088129878,1011998.97217545,1004118.5955798014,4825.7663187480375
2019-02-06,1007016.1838266812,1003232.6319143588,998843.486920894,1004795.0804246628,1013470.7563294272,1005471.6278832048,4811.959704530449
2019-02-07,1005081.4725868036,1001748.514172411,997073.9374524144,1001931.492992694,1011405.9899008968,1003448.2814210441,4728.943951889091
2019-02-08,1003175.4328812988,1000995.5890293944,997975.673297464,1002890.12715096,1010172.3214325234,1003041.8287583282,4018.4031006860278
