date,portfolio_value
2022-01-03,999599.0096238395
2022-01-04,994664.7484934247
2022-01-05,994059.0130094077
2022-01-06,983518.6508871517
2022-01-07,981716.6959931669
2022-01-10,979949.055083558
2022-01-11,980776.1547104765
2022-01-12,988234.6256128879
2022-01-13,990296.5497629617
2022-01-14,985372.9545809781
2022-01-18,982359.8765159377
2022-01-19,970844.6975077322
2022-01-20,970339.0116947892
2022-01-21,965980.1426985614
2022-01-24,959289.6895034652
2022-01-25,960302.4751003308
2022-01-26,955117.2134276143
2022-01-27,948142.9372831815
2022-01-28,945709.3015687279
2022-01-31,956581.1222850602
2022-02-01,965041.2963502435
2022-02-02,968363.816201093
2022-02-03,974458.1393475706
2022-02-04,961207.4226152045
2022-02-07,958421.3388990982
2022-02-08,958391.1201025674
2022-02-09,958882.4325816936
2022-02-10,960981.4647374369
2022-02-11,951966.6511114546
2022-02-14,961348.1736484374
2022-02-15,958138.2645954288
2022-02-16,953999.0468248609
2022-02-17,959057.126375397
2022-02-18,964267.583406863
2022-02-22,965758.0337119361
2022-02-23,966042.2097489075
2022-02-24,963416.2808525471
2022-02-25,961495.2367980628
2022-02-28,963315.1991497953
2022-03-01,968862.5064763891
2022-03-02,966404.8484443935
2022-03-03,966285.6791974944
2022-03-04,966767.6779015223
2022-03-07,969645.1507325581
2022-03-08,956598.4135792884
2022-03-09,955407.3357086155
2022-03-10,960838.2657227532
2022-03-11,956491.8116012195
2022-03-14,948479.7049562215
2022-03-15,937442.9310843416
2022-03-16,943765.8573507786
2022-03-17,955866.3442874323
2022-03-18,961016.639691717
2022-03-21,966021.093307187
2022-03-22,962750.6975102782
2022-03-23,962840.2597400135
2022-03-24,962545.2308158875
2022-03-25,967672.0699975165
2022-03-28,967032.4539668362
2022-03-29,966399.2499471755
2022-03-30,974707.0082584905
2022-03-31,976949.7305401233
2022-04-01,972371.7691447913
2022-04-04,973049.8616889683
2022-04-05,974019.548043395
2022-04-06,959765.6678969096
2022-04-07,953601.2715624283
2022-04-08,954515.9917818746
2022-04-11,951922.6652982853
2022-04-12,941053.6092925665
2022-04-13,940520.3546645059
2022-04-14,946301.2488910482
2022-04-18,936503.1405500633
2022-04-19,935015.2810231255
2022-04-20,936034.8927996587
2022-04-21,941331.9126037929
2022-04-22,932029.4178813847
2022-04-25,916949.2833355125
2022-04-26,918880.472823491
2022-04-27,908905.3005036324
2022-04-28,905778.2979818381
2022-04-29,914514.147759159
2022-05-02,898361.416421775
2022-05-03,891987.8563648497
2022-05-04,896081.7794909778
2022-05-05,909999.1048820808
2022-05-06,893754.465690478
2022-05-09,888309.551004778
2022-05-10,884365.8764013564
2022-05-11,884351.4287842576
2022-05-12,890972.6014713245
2022-05-13,889440.6528988003
2022-05-16,883835.0921483438
2022-05-17,886073.6552810644
2022-05-18,882653.0004742598
2022-05-19,886919.1453099534
2022-05-20,891836.8449717015
2022-05-23,894852.9793588
2022-05-24,893509.2353633889
2022-05-25,902059.6447052583
2022-05-26,900822.3976073979
2022-05-27,902468.6912311637
2022-05-31,905781.74691501
2022-06-01,894887.0477534481
2022-06-02,892350.936458427
2022-06-03,899529.2005889735
2022-06-06,891210.4512539204
