date,portfolio_values_0,portfolio_values_25,portfolio_values_50,portfolio_values_75,portfolio_values_100,sac_mean,sac_sd
2019-01-03,1002633.3467798556,1002644.39592404,1002638.6228127406,1002623.771809096,1002648.933108754,1002637.8140868973,8.772111065950781
2019-01-04,1004685.1969927286,1004757.4048379646,1004654.685058677,1004542.2729069594,1004718.0530815253,1004671.522575571,73.09831663473605
2019-01-07,1005760.7803264816,1005701.8135804592,1005620.3296178367,1005644.9476916746,1005679.3323132768,1005681.4407059457,48.53983910730769
2019-01-08,1007022.886212498,1006926.5606280934,1006834.8573935044,1006902.962196387,1006894.4296700282,1006916.3392201022,61.24540796426898
2019-01-09,1007723.0098820298,1007612.1982760504,1007526.2492388904,1007655.4372075796,1007583.917642153,1007620.1624493407,66.36069345768459
2019-01-10,1011063.8286760908,1010940.3285049208,1010835.4231184898,1010973.6358657272,1010898.3677036046,1010942.3167737667,76.29908970259932
2019-01-11,1008531.4575547022,1008353.421303528,1008276.979709806,1008470.7013870385,1008374.1012880176,1008401.3322486185,89.71645382237983
2019-01-14,1009510.7069550516,1009340.0784610492,1009267.053997252,1009452.266465592,1009364.9926256568,1009387.0197009202,85.59920471194968
2019-01-15,1008620.123995804,1008460.85528485,1008453.6046061628,1008527.1680785147,1008492.798980226,1008510.9101891115,60.51349222302439
2019-01-16,1009039.8376099016,1008815.6614853078,1008706.959290798,1008932.3018411262,1008862.3198838312,1008871.416022193,111.63354224507843
2019-01-17,1009800.970597402,1009596.2859267052,1009486.4625140805,1009709.531323247,1009656.5178196868,1009649.9536362241,105.83787783559963
2019-01-18,1010695.5323095152,1010480.3606430156,1010343.7547371956,1010621.2484457786,1010530.169021646,1010534.2130314301,120.65642828172729
2019-01-22,1009129.7593013686,1008988.447240934,1009289.2572588248,1009531.1355146096,1009230.1704767032,1009233.7539584881,180.28839230399262
2019-01-23,1009054.7084444956,1008847.7025734924,1009034.918497882,1009314.7366360188,1009190.3906484476,1009088.4913600672,157.20112375568482
2019-01-24,1008805.325465183,1008609.4917206592,1008817.4610579986,1009086.1941023826,1008941.0339830284,1008851.9012658503,158.08579648174808
2019-01-25,1009893.1830695642,1009713.9576131848,1009899.6230146718,1010185.721786674,1010047.054737905,1009947.9080444,159.0248496806376
2019-01-28,1013808.6861439204,1013640.2658025248,1013641.5940146848,1014124.2934509552,1013932.973955484,1013829.5626735138,183.93557348485268
2019-01-29,1012942.3223688516,1012819.6247646244,1012786.4153936432,1013295.1897377976,1013152.3858111585,1012999.1876152151,195.87518252321902
2019-01-30,1014922.355528706,1014831.008803973,1014782.6489613412,1015244.550348407,1015130.0266098252,1014982.1180504505,177.16722825250685
2019-01-31,1019739.2934096328,1019857.1480115145,1019649.3285055248,1020184.7296470068,1020133.1811598316,1019912.7361467021,212.19447554921302
2019-02-01,1023323.6684933414,1023500.1109080244,1023252.632989155,1023800.4717311916,1023753.9288626498,1023526.1625968724,220.73693472177754
2019-02-04,1020776.8214281534,1020930.3250891872,1020679.5930157796,1021234.081461585,1021095.8447418864,1020943.3331473183,202.6072989337978
2019-02-05,1019617.656867748,1019670.2607186994,1019567.7353393304,1020100.8956049448,1019950.483176482,1019781.406341441,207.597159120243
2019-02-06,1021805.1528074096,1021846.332072618,1021742.0915756612,1022329.5392261604,1022171.8041442832,1021978.9839652264,229.7826854636376
2019-02-07,1020228.5526247884,1020229.6859904838,1020185.3866084828,1020794.9951981192,1020611.7810599888,1020410.0802963726,246.9106454389262
2019-02-08,1020552.5730099672,1020530.8754357664,1020254.0589672748,1020811.7118135012,1020684.0729272933,1020566.6584307605,186.02933681002452
2019-02-11,1022539.1283543616,1022451.4407061368,1022255.971607581,1022804.3635242856,1022652.8392955444,1022540.7486975819,185.00465553445702
2019-02-12,1019715.6428764056,1019629.5290251,1019467.5251187136,1020027.5379317278,1019791.3577452062,1019726.3185394306,185.1590856834184
2019-02-13,1022065.805393927,1022032.7340586692,1021850.230679624,1022403.9188117548,1022159.2678911216,1022102.3913670194,181.06873016842096
2019-02-14,1020142.8408263735,1020067.4299144432,1019857.6421431436,1020528.146523501,1020093.5147439227,1020137.9148302767,218.0813197022578
2019-02-15,1023022.4550164556,1022916.8858148004,1022715.6203265876,1023333.2716180412,1022925.2678445984,1022982.7001240967,201.71387265480186
2019-02-19,1026783.958934844,1026710.7189450194,1026475.770488754,1027052.56052891,1026734.3924562196,1026751.4802707493,184.21376085626127
2019-02-20,1030462.1814503176,1030414.5200562256,1030169.4169275034,1030731.7558922584,1030414.8407122616,1030438.5430077132,178.94150982317737
2019-02-21,1029497.496908883,1029475.809460176,1029165.1936572542,1029788.5545528647,1029492.0260970516,1029483.816135246,197.3344676128495
2019-02-22,1024796.906722196,1024858.5939957004,1024487.9906413414,1025177.9578701148,1024876.0192011042,1024839.4936860915,219.82946977285724
2019-02-25,1028123.1581200478,1028190.6985526304,1027782.8538133968,1028529.3430094792,1028230.2450412404,1028171.2597073589,238.852963449218
2019-02-26,1026722.9950626924,1026815.2173175974,1026398.9448578752,1027160.877030464,1026847.6018326558,1026789.127220257,244.50506458612588
2019-02-27,1028785.1637006038,1028950.078752622,1028525.4848141944,1029195.4688026452,1028982.245610735,1028887.6883361603,223.27792099151165
2019-02-28,1024103.6309507986,1024182.8868791298,1023826.8517837196,1024521.3362938352,1024232.0690181786,1024173.3549851325,223.4077417814013
2019-03-01,1020925.509816068,1021007.0257776508,1020634.1923857274,1021339.3774441548,1021073.375821242,1020995.8962489687,227.9869367288266
2019-03-04,1015951.2877555272,1016062.8399322084,1015622.0456827036,1016371.11257479,1016086.1520437798,1016018.6875978019,241.89741299204908
2019-03-05,1016672.8609862436,1016832.8783900968,1016430.1118006096,1017083.153532584,1016876.1895665006,1016779.0388552069,218.1038846539487
2019-03-06,1016691.5313536228,1016842.3935396344,1016444.524747943,1017097.2333730506,1016870.5036302736,1016789.2373289049,215.71489460205325
