date,portfolio_value
2022-01-03,1001422.2497618785
2022-01-04,991950.4818180482
2022-01-05,991150.4561698333
2022-01-06,984237.4435751972
2022-01-07,982099.149981665
2022-01-10,981214.6495099348
2022-01-11,982912.7838574155
2022-01-12,989732.3818348972
2022-01-13,991535.5216392834
2022-01-14,990374.9577957048
2022-01-18,985872.1089487377
2022-01-19,976813.1627532423
2022-01-20,980362.354339556
2022-01-21,978700.6457095093
2022-01-24,977258.6494148471
2022-01-25,976924.5094756621
2022-01-26,974511.0305331484
2022-01-27,965377.8338280073
2022-01-28,963869.8382193788
2022-01-31,969432.7936742005
2022-02-01,974183.3389529735
2022-02-02,976153.4155343741
2022-02-03,980867.226178155
2022-02-04,971633.9296390979
2022-02-07,969065.5872170748
2022-02-08,970431.1281087637
2022-02-09,970685.7773380044
2022-02-10,975519.6861743052
2022-02-11,965048.9224188823
2022-02-14,970048.254358823
2022-02-15,966804.0662025422
2022-02-16,965753.2270926697
2022-02-17,970236.1030499396
2022-02-18,971403.9496330731
2022-02-22,971674.3818414144
2022-02-23,970295.341013298
2022-02-24,963971.155556703
2022-02-25,965063.735125028
2022-02-28,969757.4298350888
2022-03-01,978252.3975185279
2022-03-02,982168.7758285695
2022-03-03,974205.744914213
2022-03-04,976978.2590255981
2022-03-07,984538.7747182187
2022-03-08,978007.1548327745
2022-03-09,979383.2899423887
2022-03-10,976057.0473001475
2022-03-11,971643.2157380343
2022-03-14,965320.3568007483
2022-03-15,952288.8409555588
2022-03-16,952482.1918638098
2022-03-17,960829.0311221742
2022-03-18,963094.3080060934
2022-03-21,965720.7611206356
2022-03-22,961107.8657400386
2022-03-23,956370.3717034853
2022-03-24,961217.3297591816
2022-03-25,962211.8704591687
2022-03-28,959272.7640288649
2022-03-29,955399.4272406809
2022-03-30,962048.7427981587
2022-03-31,966542.8150512562
2022-04-01,963546.7527947187
2022-04-04,962000.5745276137
2022-04-05,963108.298284652
2022-04-06,951483.5101001991
2022-04-07,947486.8558667816
2022-04-08,947513.7472666043
2022-04-11,944935.6310990297
2022-04-12,936428.213431734
2022-04-13,937162.2870146384
2022-04-14,940801.9654741948
2022-04-18,931902.3251348451
2022-04-19,929607.6957154346
2022-04-20,924650.1735828124
2022-04-21,932412.0432735407
2022-04-22,925222.6039891236
2022-04-25,914699.1722877263
2022-04-26,915183.6251594378
2022-04-27,912345.4521380102
2022-04-28,906768.407384162
2022-04-29,909456.0004945201
2022-05-02,900032.9752870424
2022-05-03,892514.4689238168
2022-05-04,895773.2258739359
2022-05-05,907764.1376154036
2022-05-06,890949.6511845202
2022-05-09,885850.6776161927
2022-05-10,878140.28249692
2022-05-11,878444.4000445976
2022-05-12,881752.375480171
2022-05-13,880286.8351748468
2022-05-16,878994.6769439223
2022-05-17,880259.7425606973
2022-05-18,880235.1678770543
2022-05-19,878132.9817322029
2022-05-20,881338.9321237722
2022-05-23,883882.5252122956
2022-05-24,885346.7169835827
2022-05-25,891384.626170903
2022-05-26,892208.7968369079
2022-05-27,895659.522324015
2022-05-31,901766.9741340237
2022-06-01,890477.6182476644
2022-06-02,887487.8719699716
2022-06-03,895124.7847589508
2022-06-06,886820.2399355331
2022-06-07,880765.2117281524
