date,portfolio_value
2022-01-03,1001475.0544229222
2022-01-04,991925.8304049346
2022-01-05,991210.3794234768
2022-01-06,984362.129782035
2022-01-07,982175.3930735713
2022-01-10,981317.0985882094
2022-01-11,983026.0441573702
2022-01-12,989867.605772668
2022-01-13,991671.5529982218
2022-01-14,990488.6281111963
2022-01-18,985985.0003340724
2022-01-19,976961.8635184024
2022-01-20,980596.8099116178
2022-01-21,978952.4783655443
2022-01-24,977505.5035064616
2022-01-25,977203.9460861813
2022-01-26,974781.2244360934
2022-01-27,965658.9526112629
2022-01-28,964151.5148005967
2022-01-31,969717.9148959354
2022-02-01,974485.6609087461
2022-02-02,976461.6744584485
2022-02-03,981167.1856270459
2022-02-04,971992.6633463112
2022-02-07,969454.3658708812
2022-02-08,970837.0034687254
2022-02-09,971124.5212748165
2022-02-10,975960.1119996614
2022-02-11,965479.1353939842
2022-02-14,970489.2063500815
2022-02-15,967260.8828952474
2022-02-16,966200.7549210968
2022-02-17,970688.4694693704
2022-02-18,971848.4687259075
2022-02-22,972117.2806801045
2022-02-23,970701.8380750592
2022-02-24,964374.2349486687
2022-02-25,965462.9897681735
2022-02-28,970189.6066262925
2022-03-01,978660.2732591326
2022-03-02,982531.0032976905
2022-03-03,974605.4260257736
2022-03-04,977385.7439251996
2022-03-07,984949.8542553268
2022-03-08,978484.6295001254
2022-03-09,979935.4198668221
2022-03-10,976594.5935336035
2022-03-11,972174.3058138994
2022-03-14,965846.6021829202
2022-03-15,952796.5182464396
2022-03-16,952959.5148267656
2022-03-17,961339.1864659885
2022-03-18,963557.9862731574
2022-03-21,966191.7811268374
2022-03-22,961635.5920312395
2022-03-23,956908.3558984789
2022-03-24,961793.122883688
2022-03-25,962891.7772228724
2022-03-28,959957.7011229888
2022-03-29,956119.1154891811
2022-03-30,962784.7796880725
2022-03-31,967259.0925427354
2022-04-01,964220.1794144145
2022-04-04,962716.7048865746
2022-04-05,963830.6924733077
2022-04-06,952190.4167526022
2022-04-07,948224.7678965131
2022-04-08,948249.4907209249
2022-04-11,945659.9590926707
2022-04-12,937177.8979191295
2022-04-13,937914.4507161119
2022-04-14,941538.6994460454
2022-04-18,932647.5010545432
2022-04-19,930365.9640034022
2022-04-20,925358.9007504156
2022-04-21,933134.97793241
2022-04-22,925949.1774486181
2022-04-25,915437.8451278305
2022-04-26,915905.5126486105
2022-04-27,913077.964787164
2022-04-28,907488.3736734504
2022-04-29,910169.7447940969
2022-05-02,900733.6989168556
2022-05-03,893235.256716082
2022-05-04,896510.6066288082
2022-05-05,908556.7935220146
2022-05-06,891742.7517978875
2022-05-09,886691.9554408118
2022-05-10,878888.7593961997
2022-05-11,879191.8093690411
2022-05-12,882524.9920172588
2022-05-13,881094.8742375601
2022-05-16,879743.5583614983
2022-05-17,881061.2005606345
2022-05-18,881049.2086469374
2022-05-19,879030.3332082679
2022-05-20,882288.2152368327
2022-05-23,884861.61120495
2022-05-24,886354.7244791035
2022-05-25,892436.0674429835
2022-05-26,893272.904683259
2022-05-27,896693.3494650525
2022-05-31,902759.2991497343
2022-06-01,891513.0279574342
2022-06-02,888492.7327804338
2022-06-03,896123.43904782
2022-06-06,887827.0155596164
2022-06-07,881749.4082566308
2022-06-08,886380.2963691873
2022-06-09,879106.8839196077
2022-06-10,873725.8732187775
2022-06-13,869129.8787572571
2022-06-14,848290.9415951133
2022-06-15,841997.4888510482
2022-06-16,854015.1405919773
2022-06-17,853789.745357283
2022-06-21,848428.1657962579
2022-06-22,846808.586449181
2022-06-23,853837.9545600697
2022-06-24,858329.531137202
2022-06-27,861501.2165135419
2022-06-28,858288.4750354424
2022-06-29,853376.263110958
2022-06-30,855721.0049022716
2022-07-01,855930.4424181873
2022-07-05,860925.0956249763
2022-07-06,857680.6784364514
2022-07-07,851240.5834845545
2022-07-08,852326.1137484522
2022-07-11,849789.8774682784
2022-07-12,847877.1088526511
2022-07-13,847407.8564136149
2022-07-14,848905.3711018475
2022-07-15,841305.6149878941
2022-07-18,846639.1124299602
2022-07-19,843578.820748371
2022-07-20,848450.6802323232
2022-07-21,848234.6999646159
2022-07-22,858243.3828661675
2022-07-25,862857.4727886237
2022-07-26,859288.7470738738
2022-07-27,856252.1014578494
2022-07-28,863412.9834447005
2022-07-29,873929.9412789864
2022-08-01,878763.6723159157
2022-08-02,887497.3111128409
2022-08-03,877525.8046362526
2022-08-04,883609.067705501
2022-08-05,888817.2911413606
2022-08-08,877056.1430847222
2022-08-09,882109.8419387075
2022-08-10,880862.8131439118
2022-08-11,887300.7963537787
2022-08-12,881190.956752235
2022-08-15,888611.6075645769
2022-08-16,886720.371703458
2022-08-17,886110.002057038
2022-08-18,879518.9407642062
2022-08-19,878542.315950939
2022-08-22,868851.2573077849
2022-08-23,861114.3077545299
2022-08-24,862020.7858053447
2022-08-25,861293.5066863991
2022-08-26,868940.9664369471
2022-08-29,859036.9768259345
2022-08-30,854078.6150070108
2022-08-31,850449.7986538761
2022-09-01,844808.6269008525
2022-09-02,837743.248842234
2022-09-06,838558.6194795951
2022-09-07,827679.6890350817
2022-09-08,835322.5575781591
2022-09-09,833008.1036402127
2022-09-12,839668.566033411
2022-09-13,841074.6821101279
2022-09-14,827270.596748432
2022-09-15,829857.4073855864
2022-09-16,823073.893597685
2022-09-19,821717.0878564985
2022-09-20,823446.3696356
2022-09-21,817224.6566993603
2022-09-22,817721.0590225812
2022-09-23,812900.8862281056
2022-09-26,805357.1477311508
2022-09-27,795352.460630603
2022-09-28,789836.2454545208
2022-09-29,805386.8373628422
2022-09-30,799571.2159122484
2022-10-03,793669.2417205138
2022-10-04,806854.8812621782
2022-10-05,816397.2318447359
2022-10-06,812083.608889214
2022-10-07,807662.2226587574
2022-10-10,797419.8202398841
2022-10-11,789421.6715814673
2022-10-12,788332.0033270826
2022-10-13,788506.5101471654
2022-10-14,789891.3133383716
2022-10-17,779375.2861859126
2022-10-18,783493.0316052871
2022-10-19,786517.8467079684
2022-10-20,778119.3630736648
2022-10-21,772295.0274726073
2022-10-24,780453.3798539079
2022-10-25,778620.909436711
2022-10-26,789360.956744998
2022-10-27,793970.3831122316
2022-10-28,794993.5971624604
2022-10-31,794550.0559749578
2022-11-01,788445.1560528297
2022-11-02,792158.1316012809
2022-11-03,785326.3602955736
2022-11-04,781031.022844364
2022-11-07,788421.9126805685
2022-11-08,787679.488336641
2022-11-09,796873.6782298366
2022-11-10,791124.0315580568
2022-11-11,823100.3503848166
2022-11-14,829459.954767678
2022-11-15,826198.4728326479
2022-11-16,832672.7925925122
2022-11-17,834791.1870473425
2022-11-18,829277.5379056607
2022-11-21,827170.4101731579
2022-11-22,823643.3024730186
2022-11-23,830756.8285449375
2022-11-25,839719.6052991132
2022-11-28,839610.3963623972
2022-11-29,835349.1618839887
2022-11-30,833767.2919542274
2022-12-01,845559.9418733898
2022-12-02,860551.877955441
2022-12-05,863728.03923793
2022-12-06,849164.4132771152
2022-12-07,849335.3529804515
2022-12-08,856680.9232340653
2022-12-09,857448.4532768026
2022-12-12,851104.6637602723
2022-12-13,851403.2431520391
2022-12-14,862135.6376585502
2022-12-15,861717.4468955658
2022-12-16,849889.1622282659
2022-12-19,848341.3744955442
2022-12-20,842041.2352668301
2022-12-21,850611.6780727642
2022-12-22,852832.6662290519
2022-12-23,847107.4411923353
2022-12-27,844956.6438837688
2022-12-28,840732.239330079
2022-12-29,834548.1695993321
2022-12-30,844123.6990851127
2023-01-03,845066.509238981
2023-01-04,850484.4106550069
2023-01-05,854331.6185878111
2023-01-06,848940.3113925174
2023-01-09,863743.7768871936
2023-01-10,865835.2697824904
2023-01-11,863896.4757948115
2023-01-12,869344.9627504237
2023-01-13,882544.2912300305
2023-01-17,886244.9606838882
2023-01-18,882317.9727659001
2023-01-19,882517.400582538
2023-01-20,883771.6121404339
2023-01-23,881553.1861396839
2023-01-24,881645.0037157931
2023-01-25,886331.6297139348
2023-01-26,888840.162966218
2023-01-27,886990.0598290429
2023-01-30,887246.4590687816
2023-01-31,882068.6089637479
2023-02-01,888578.8191716254
2023-02-02,898672.4326628166
2023-02-03,897525.4049887538
2023-02-06,882149.7331769582
2023-02-07,877116.9623177999
2023-02-08,881007.6498232946
2023-02-09,879575.9718300044
2023-02-10,873627.9001692047
2023-02-13,872322.9686585634
2023-02-14,874288.8655037036
2023-02-15,872517.7315731107
2023-02-16,867365.760914159
2023-02-17,861443.6262961136
2023-02-21,862728.8059378772
2023-02-22,852254.1160523919
2023-02-23,852621.6112368946
2023-02-24,856155.6523350695
2023-02-27,846794.2617165148
2023-02-28,849117.6138485386
2023-03-01,850574.2618200695
2023-03-02,848548.6091362691
2023-03-03,847449.3796272291
2023-03-06,859584.3780768035
2023-03-07,856701.5711365147
2023-03-08,849166.4655402983
2023-03-09,849463.5981458614
2023-03-10,849979.6394078668
2023-03-13,860813.6300249707
2023-03-14,868405.9853935792
2023-03-15,865706.5424330869
2023-03-16,871966.31750758
2023-03-17,874056.2993769742
2023-03-20,883697.4878033074
2023-03-21,884715.9923343916
2023-03-22,879839.7774302859
2023-03-23,884975.2679709005
2023-03-24,889319.1118895548
2023-03-27,888863.0087117696
2023-03-28,880562.7142892398
2023-03-29,883614.1240588988
2023-03-30,881926.5883236214
2023-03-31,886540.9528362496
2023-04-03,891501.9341211759
2023-04-04,895706.03228554
2023-04-05,901328.5173511289
2023-04-06,903393.834852034
2023-04-10,902256.1638370452
2023-04-11,894204.590923314
2023-04-12,895852.8482292586
2023-04-13,896803.8371753854
2023-04-14,901784.5346239125
2023-04-17,893433.8673010593
2023-04-18,889488.447807798
2023-04-19,891771.2788684514
2023-04-20,889233.7236858989
2023-04-21,891636.7027673238
2023-04-24,888638.7337283134
2023-04-25,891344.9306848377
2023-04-26,893671.4114661218
2023-04-27,888776.2669386156
2023-04-28,890622.2657460399
2023-05-01,892327.7522654486
2023-05-02,882546.4769074281
2023-05-03,891261.6694934119
2023-05-04,895477.6599631879
2023-05-05,894784.4279545431
2023-05-08,893708.0946517363
2023-05-09,890360.4975742439
2023-05-10,889973.2361473797
2023-05-11,894303.3525765962
2023-05-12,893996.1974590458
2023-05-15,889517.0831432332
2023-05-16,887904.9666555984
2023-05-17,882523.2584424356
2023-05-18,881623.1322433094
2023-05-19,877453.2188007102
2023-05-22,879101.9055204022
2023-05-23,876916.3653955779
2023-05-24,875312.6987635801
2023-05-25,869606.1029559455
2023-05-26,867616.3415462648
2023-05-30,872389.5127578924
2023-05-31,877283.881380332
2023-06-01,878970.8700979952
2023-06-02,884348.5419951899
2023-06-05,880085.0207961347
2023-06-06,881208.2145423895
2023-06-07,882896.2795896125
2023-06-08,875342.0937959271
2023-06-09,884326.6359360201
2023-06-12,882868.0772092063
